quantity,sigma,year,value,value_float,attribution
mu,1/2,1920,5/28,0.17857142857142858,van der Corput
mu,1/2,1921,5/28,0.17857142857142858,van der Corput
mu,1/2,1922,5/28,0.17857142857142858,van der Corput
mu,1/2,1924,5/28,0.17857142857142858,van der Corput
mu,1/2,1931,27/164,0.16463414634146342,Titchmarsh
mu,1/2,1933,229/1392,0.16451149425287356,Phillips
mu,1/2,1940,229/1392,0.16451149425287356,Phillips
mu,1/2,1942,19/116,0.16379310344827586,Titchmarsh
mu,1/2,1949,15/92,0.16304347826086957,Min
mu,1/2,1963,6/37,0.16216216216216217,Haneke
mu,1/2,1971,6/37,0.16216216216216217,Haneke
mu,1/2,1972,6/37,0.16216216216216217,Haneke
mu,1/2,1973,173/1067,0.16213683223992503,Kolesnik
mu,1/2,1975,173/1067,0.16213683223992503,Kolesnik
mu,1/2,1977,173/1067,0.16213683223992503,Kolesnik
mu,1/2,1978,173/1067,0.16213683223992503,Kolesnik
mu,1/2,1979,173/1067,0.16213683223992503,Kolesnik
mu,1/2,1980,173/1067,0.16213683223992503,Kolesnik
mu,1/2,1982,35/216,0.16203703703703703,Kolesnik
mu,1/2,1983,35/216,0.16203703703703703,Kolesnik
mu,1/2,1984,35/216,0.16203703703703703,Kolesnik
mu,1/2,1985,139/858,0.16200466200466201,Kolesnik
mu,1/2,1988,9/56,0.16071428571428573,Huxley--Watt
mu,1/2,1989,89/560,0.15892857142857142,Watt
mu,1/2,1990,89/560,0.15892857142857142,Watt
mu,1/2,1991,17/108,0.1574074074074074,Huxley--Kolesnik
mu,1/2,1993,89/570,0.156140350877193,Huxley
mu,1/2,1995,89/570,0.156140350877193,Sargos
mu,1/2,1996,89/570,0.156140350877193,Huxley
mu,1/2,2000,89/570,0.156140350877193,Huxley
mu,1/2,2001,89/570,0.156140350877193,Huxley
mu,1/2,2002,89/570,0.156140350877193,Huxley
mu,1/2,2003,89/570,0.156140350877193,Huxley
mu,1/2,2005,32/205,0.15609756097560976,Huxley
mu,1/2,2014,32/205,0.15609756097560976,Huxley
mu,1/2,2016,32/205,0.15609756097560976,Huxley
mu,1/2,2017,13/84,0.15476190476190477,Bourgain
mu,1/2,2020,13/84,0.15476190476190477,Bourgain
mu,1/2,2023,13/84,0.15476190476190477,Trudgian--Yang
mu,1/2,2024,13/84,0.15476190476190477,Trudgian--Yang
mu,3/5,1920,9/70,0.12857142857142856,van der Corput
mu,3/5,1921,9/70,0.12857142857142856,van der Corput
mu,3/5,1922,9/70,0.12857142857142856,van der Corput
mu,3/5,1924,9/70,0.12857142857142856,van der Corput
mu,3/5,1931,149/1230,0.12113821138211382,Titchmarsh
mu,3/5,1933,158/1305,0.1210727969348659,Phillips
mu,3/5,1940,158/1305,0.1210727969348659,Phillips
mu,3/5,1942,7/58,0.1206896551724138,Titchmarsh
mu,3/5,1949,83/690,0.12028985507246377,Min
mu,3/5,1963,133/1110,0.11981981981981982,Haneke
mu,3/5,1971,133/1110,0.11981981981981982,Haneke
mu,3/5,1972,133/1110,0.11981981981981982,Haneke
mu,3/5,1973,767/6402,0.11980631052796001,Kolesnik
mu,3/5,1975,767/6402,0.11980631052796001,Kolesnik
mu,3/5,1977,767/6402,0.11980631052796001,Kolesnik
mu,3/5,1978,767/6402,0.11980631052796001,Kolesnik
mu,3/5,1979,767/6402,0.11980631052796001,Kolesnik
mu,3/5,1980,767/6402,0.11980631052796001,Kolesnik
mu,3/5,1982,97/810,0.11975308641975309,Kolesnik
mu,3/5,1983,97/810,0.11975308641975309,Kolesnik
mu,3/5,1984,97/810,0.11975308641975309,Kolesnik
mu,3/5,1985,1541/12870,0.11973581973581973,Kolesnik
mu,3/5,1988,599/5180,0.11563706563706563,Huxley--Watt
