quantity,parameter,point,point_float,year,value,value_float
A,sigma,21/40,0.525,1921,21/10,2.1
A,sigma,21/40,0.525,1940,120/59,2.0338983050847457
A,sigma,11/20,0.55,1921,11/5,2.2
A,sigma,11/20,0.55,1940,60/29,2.0689655172413794
A,sigma,23/40,0.575,1921,23/10,2.3
A,sigma,23/40,0.575,1940,40/19,2.1052631578947367
A,sigma,3/5,0.6,1921,12/5,2.4
A,sigma,3/5,0.6,1940,15/7,2.142857142857143
A,sigma,5/8,0.625,1921,5/2,2.5
A,sigma,5/8,0.625,1940,24/11,2.1818181818181817
A,sigma,13/20,0.65,1921,13/5,2.6
A,sigma,13/20,0.65,1940,20/9,2.2222222222222223
A,sigma,27/40,0.675,1921,27/10,2.7
A,sigma,27/40,0.675,1940,120/53,2.2641509433962264
A,sigma,7/10,0.7,1921,14/5,2.8
A,sigma,7/10,0.7,1940,30/13,2.3076923076923075
A,sigma,29/40,0.725,1921,29/10,2.9
A,sigma,29/40,0.725,1940,40/17,2.3529411764705883
A,sigma,29/40,0.725,2024,120/53,2.2641509433962264
A,sigma,3/4,0.75,1921,3,3.0
A,sigma,3/4,0.75,1940,12/5,2.4
A,sigma,3/4,0.75,2024,20/9,2.2222222222222223
A,sigma,31/40,0.775,1921,31/10,3.1
A,sigma,31/40,0.775,1940,120/49,2.4489795918367347
A,sigma,31/40,0.775,1972,120/53,2.2641509433962264
A,sigma,31/40,0.775,1979,48/23,2.0869565217391304
A,sigma,31/40,0.775,1980,120/59,2.0338983050847457
A,sigma,4/5,0.8,1921,16/5,3.2
A,sigma,4/5,0.8,1940,5/2,2.5
A,sigma,4/5,0.8,1972,15/7,2.142857142857143
A,sigma,4/5,0.8,1975,2,2.0
A,sigma,4/5,0.8,1979,15/8,1.875
A,sigma,33/40,0.825,1921,33/10,3.3
A,sigma,33/40,0.825,1940,120/47,2.5531914893617023
A,sigma,33/40,0.825,1972,120/59,2.0338983050847457
A,sigma,33/40,0.825,1973,960/481,1.995841995841996
A,sigma,33/40,0.825,1979,20/11,1.8181818181818181
A,sigma,17/20,0.85,1921,17/5,3.4
A,sigma,17/20,0.85,1940,60/23,2.608695652173913
A,sigma,17/20,0.85,1972,60/31,1.935483870967742
A,sigma,17/20,0.85,1975,480/259,1.8532818532818534
A,sigma,17/20,0.85,1979,30/17,1.7647058823529411
A,sigma,7/8,0.875,1921,7/2,3.5
A,sigma,7/8,0.875,1940,8/3,2.6666666666666665
A,sigma,7/8,0.875,1972,24/13,1.8461538461538463
A,sigma,7/8,0.875,1975,64/37,1.7297297297297298
A,sigma,7/8,0.875,1979,12/7,1.7142857142857142
A,sigma,9/10,0.9,1921,18/5,3.6
A,sigma,9/10,0.9,1940,30/11,2.727272727272727
A,sigma,9/10,0.9,1972,30/17,1.7647058823529411
A,sigma,9/10,0.9,1975,5/3,1.6666666666666667
A,sigma,9/10,0.9,1979,20/13,1.5384615384615385
A,sigma,9/10,0.9,1980,3/2,1.5
A,sigma,37/40,0.925,1921,37/10,3.7
A,sigma,37/40,0.925,1940,120/43,2.7906976744186047
A,sigma,37/40,0.925,1972,120/71,1.6901408450704225
A,sigma,37/40,0.925,1975,60/37,1.6216216216216217
A,sigma,37/40,0.925,1979,40/27,1.4814814814814814
A,sigma,37/40,0.925,1980,96/67,1.4328358208955223
A,sigma,37/40,0.925,1995,80/59,1.3559322033898304
A,sigma,19/20,0.95,1921,19/5,3.8
A,sigma,19/20,0.95,1940,20/7,2.857142857142857
A,sigma,19/20,0.95,1972,60/37,1.6216216216216217
A,sigma,19/20,0.95,1975,30/19,1.5789473684210527
A,sigma,19/20,0.95,1979,10/7,1.4285714285714286
A,sigma,19/20,0.95,1980,48/35,1.3714285714285714
A,sigma,19/20,0.95,1995,8/7,1.1428571428571428
A,sigma,39/40,0.975,1921,39/10,3.9
A,sigma,39/40,0.975,1940,120/41,2.926829268292683
A,sigma,39/40,0.975,1972,120/77,1.5584415584415585
A,sigma,39/40,0.975,1975,20/13,1.5384615384615385
A,sigma,39/40,0.975,1979,40/29,1.3793103448275863
A,sigma,39/40,0.975,1980,96/73,1.3150684931506849
A,sigma,39/40,0.975,1995,16/17,0.9411764705882353
