month,submissions
1991-07,2
1991-08,28
1991-09,58
1991-10,76
1991-11,64
1991-12,78
1992-01,193
1992-02,134
1992-03,120
1992-04,225
1992-05,237
1992-06,237
1992-07,296
1992-08,227
1992-09,336
1992-10,401
1992-11,453
1992-12,404
1993-01,400
1993-02,428
1993-03,504
1993-04,505
1993-05,538
1993-06,536
1993-07,643
1993-08,541
1993-09,518
1993-10,678
1993-11,714
1993-12,738
1994-01,610
1994-02,653
1994-03,753
1994-04,738
1994-05,841
1994-06,888
1994-07,863
1994-08,766
1994-09,884
1994-10,932
1994-11,1114
1994-12,1055
1995-01,933
1995-02,977
1995-03,1168
1995-04,913
1995-05,1110
1995-06,1195
1995-07,1017
1995-08,1030
1995-09,1133
1995-10,1229
1995-11,1162
1995-12,1147
1996-01,1051
1996-02,1076
1996-03,1169
1996-04,1220
1996-05,1358
1996-06,1311
1996-07,1424
1996-08,1394
1996-09,1474
1996-10,1520
1996-11,1402
1996-12,1467
1997-01,1308
1997-02,1362
1997-03,1411
1997-04,1468
1997-05,1581
1997-06,1709
1997-07,1804
1997-08,1426
1997-09,1882
1997-10,2007
1997-11,1717
1997-12,1949
1998-01,1723
1998-02,1668
1998-03,1911
1998-04,1747
1998-05,1918
1998-06,2089
1998-07,2101
1998-08,1826
1998-09,2414
1998-10,2330
1998-11,2242
1998-12,2203
1999-01,1850
1999-02,1919
1999-03,2394
1999-04,2156
1999-05,2221
1999-06,2427
1999-07,2414
1999-08,2139
1999-09,2502
1999-10,2571
1999-11,2518
1999-12,2593
2000-01,2365
2000-02,2366
2000-03,2600
2000-04,2077
2000-05,2727
2000-06,2439
2000-07,2461
2000-08,2613
2000-09,2522
2000-10,2913
2000-11,2864
2000-12,2654
2001-01,2591
2001-02,2429
2001-03,2713
2001-04,2606
2001-05,2912
2001-06,2871
2001-07,2760
2001-08,2422
2001-09,2548
2001-10,3404
2001-11,3240
2001-12,2718
2002-01,2716
2002-02,2567
2002-03,2666
2002-04,2853
2002-05,3089
2002-06,2695
2002-07,3269
2002-08,2725
2002-09,3314
2002-10,3531
2002-11,3440
2002-12,3256
2003-01,2926
2003-02,2881
2003-03,3018
2003-04,3102
2003-05,3267
2003-06,3463
2003-07,3418
2003-08,2741
2003-09,3747
2003-10,3841
2003-11,3349
2003-12,3661
2004-01,3071
2004-02,3277
2004-03,3603
2004-04,3369
2004-05,3553
2004-06,3710
2004-07,3679
2004-08,3294
2004-09,3939
2004-10,4086
2004-11,4152
2004-12,3994
2005-01,3493
2005-02,3250
2005-03,3881
2005-04,3693
2005-05,3779
2005-06,3984
2005-07,3839
2005-08,3775
2005-09,4345
2005-10,4439
2005-11,4294
2005-12,4083
2006-01,3858
2006-02,3520
2006-03,4213
2006-04,3474
2006-05,4204
2006-06,4139
2006-07,4197
2006-08,4064
2006-09,4275
2006-10,5133
2006-11,4854
2006-12,4296
2007-01,4653
2007-02,4164
2007-03,4493
2007-04,4003
2007-05,4684
2007-06,4484
2007-07,4681
2007-08,4414
2007-09,4682
2007-10,5945
2007-11,5029
2007-12,4406
2008-01,4970
2008-02,4463
2008-03,4519
2008-04,4898
2008-05,4836
2008-06,4980
2008-07,5139
2008-08,4160
2008-09,5287
2008-10,5773
2008-11,4774
2008-12,5116
2009-01,4975
2009-02,4903
2009-03,5547
2009-04,4930
2009-05,4955
2009-06,5614
2009-07,5606
2009-08,4597
2009-09,5696
2009-10,5957
2009-11,5730
2009-12,5537
2010-01,5471
2010-02,5048
2010-03,6133
2010-04,5602
2010-05,5737
2010-06,5963
2010-07,5521
2010-08,5399
2010-09,6232
2010-10,6304
2010-11,6676
2010-12,6045
2011-01,6081
2011-02,5774
2011-03,6286
2011-04,5711
2011-05,6374
2011-06,6357
2011-07,6046
2011-08,6331
2011-09,6937
2011-10,6930
2011-11,7319
2011-12,6432
2012-01,6687
2012-02,6685
2012-03,6903
2012-04,6739
2012-05,7092
2012-06,7121
2012-07,7358
2012-08,6592
2012-09,6630
2012-10,8452
