year,total,ai_attributed,other_attributed,sev_low,ai_sev_low,other_sev_low,sev_medium,ai_sev_medium,other_sev_medium,sev_high,ai_sev_high,other_sev_high,sev_critical,ai_sev_critical,other_sev_critical,partial_year,data_through
2000,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,no,
2003,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,no,
2005,3,0,3,0,0,0,0,0,0,3,0,3,0,0,0,no,
2006,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,no,
2007,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,no,
2009,2,0,2,0,0,0,1,0,1,1,0,1,0,0,0,no,
2010,2,0,2,0,0,0,0,0,0,2,0,2,0,0,0,no,
2011,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,no,
2012,2,0,2,0,0,0,0,0,0,2,0,2,0,0,0,no,
2013,5,0,5,0,0,0,2,0,2,2,0,2,1,0,1,no,
2014,8,0,8,0,0,0,7,0,7,1,0,1,0,0,0,no,
2015,9,0,9,0,0,0,5,0,5,4,0,4,0,0,0,no,
2016,24,0,24,0,0,0,13,0,13,11,0,11,0,0,0,no,
2017,12,0,12,0,0,0,8,0,8,4,0,4,0,0,0,no,
2018,12,0,12,6,0,6,2,0,2,4,0,4,0,0,0,no,
2019,8,0,8,3,0,3,3,0,3,2,0,2,0,0,0,no,
2020,6,0,6,2,0,2,4,0,4,0,0,0,0,0,0,no,
2021,13,0,13,3,0,3,9,0,9,1,0,1,0,0,0,no,
2022,21,0,21,8,0,8,13,0,13,0,0,0,0,0,0,no,
2023,18,0,18,12,0,12,5,0,5,1,0,1,0,0,0,no,
2024,11,0,11,7,0,7,4,0,4,0,0,0,0,0,0,no,
2025,9,2,7,7,2,5,2,0,2,0,0,0,0,0,0,no,
2026,36,15,21,22,12,10,14,3,11,0,0,0,0,0,0,yes,2026-06-24
