quarter,nvd_published,kev_added,partial_quarter,data_through
2016-Q1,1397,0,no,
2016-Q2,1791,0,no,
2016-Q3,1725,0,no,
2016-Q4,1604,0,no,
2017-Q1,3587,0,no,
2017-Q2,6790,0,no,
2017-Q3,4108,0,no,
2017-Q4,3628,0,no,
2018-Q1,5359,0,no,
2018-Q2,4678,0,no,
2018-Q3,4452,0,no,
2018-Q4,3665,0,no,
2019-Q1,4156,0,no,
2019-Q2,4163,0,no,
2019-Q3,5237,0,no,
2019-Q4,5382,0,no,
2020-Q1,5140,0,no,
2020-Q2,5123,0,no,
2020-Q3,4329,0,no,
2020-Q4,4630,0,no,
2021-Q1,5030,0,no,
2021-Q2,5375,0,no,
2021-Q3,5779,0,no,
2021-Q4,5766,311,no,
2022-Q1,6316,298,no,
2022-Q2,6429,176,no,
2022-Q3,6888,50,no,
2022-Q4,6798,31,no,
2023-Q1,7822,37,no,
2023-Q2,7502,60,no,
2023-Q3,7709,43,no,
2023-Q4,7916,47,no,
2024-Q1,8905,40,no,
2024-Q2,12011,33,no,
2024-Q3,8659,58,no,
2024-Q4,11129,55,no,
2025-Q1,12412,73,no,
2025-Q2,12205,59,no,
2025-Q3,12207,51,no,
2025-Q4,13148,62,no,
2026-Q1,16255,71,no,
2026-Q2,20871,75,no,
2026-Q3,8475,25,yes,2026-07-28
