date,score,player,status,note
1982-11-07,874300,Billy Mitchell,verified,later stricken by Twin Galaxies (2018) then reinstated (2020); provenance disputed
2000-08-17,879200,Tim Sczerby,verified,
2004-06-01,947200,Steve Wiebe,approx,King of Kong era; date and score to confirm
2007-07-13,1050200,Billy Mitchell,approx,tape-submitted; disputed; date approximate
2010-02-26,1061700,Hank Chien,verified,
2010-09-20,1064500,Steve Wiebe,verified,played 2010-08-30; announced 2010-09-20
2010-12-27,1068000,Hank Chien,verified,
2011-07-01,1110100,Hank Chien,approx,middle Chien improvements; dates to confirm
2012-11-05,1138600,Hank Chien,verified,
2014-09-05,1141800,Robbie Lakeman,approx-date,September 2014
2014-12-15,1144800,Robbie Lakeman,approx-date,December 2014
2015-06-15,1158400,Robbie Lakeman,approx-date,June 2015
2015-09-20,1170500,Wes Copeland,approx-date,September 2015; Lakeman reclaimed within six hours
2016-01-04,1190000,Wes Copeland,approx-date,January 2016
2016-04-19,1195100,Wes Copeland,verified,
2016-05-05,1218000,Wes Copeland,verified,
2017-12-22,1230100,Robbie Lakeman,verified,
2018-02-02,1247700,Robbie Lakeman,verified,
2019-03-17,1249500,John McCurdy,verified,
2019-05-25,1259000,John McCurdy,verified,
2020-06-15,1260700,Robbie Lakeman,verified,
2020-09-22,1271100,Robbie Lakeman,verified,
2021-01-11,1272700,John McCurdy,verified,
2021-06-08,1272800,Robbie Lakeman,verified,standing record as of 2025
