date,time_s,time_str,runner,status,note
2014-03-25,298.092,4:58.092,andrewg,verified,held the record since 2007 before improving it himself
2014-06-15,297.693,4:57.693,Blubbler,approx-date,June 2014; first to beat andrewg in seven years
2015-10-18,297.627,4:57.627,darbian,verified,
2016-01-14,297.427,4:57.427,darbian,verified,
2016-04-14,297.260,4:57.260,darbian,verified,
2016-08-11,297.244,4:57.244,darbian,verified,
2016-09-15,297.194,4:57.194,Kosmic,approx-date,September 2016; beat darbian four days after tying him
2016-09-17,296.878,4:56.878,darbian,approx-date,two days later; first 4:56
2017-10-20,296.528,4:56.528,darbian,verified,
2018-02-16,296.462,4:56.462,Kosmic,verified,
2018-10-05,295.913,4:55.913,Kosmic,approx,first 4:55; date and milliseconds to confirm against speedrun.com
2019-01-26,295.796,4:55.796,somewes,approx,date and milliseconds to confirm against speedrun.com
2019-04-30,295.746,4:55.746,Kosmic,approx,date and milliseconds to confirm against speedrun.com
2020-09-13,295.430,4:55.430,Niftski,approx-date,2020; Niftski's first world record
2021-02-01,295.230,4:55.230,Miniland,approx-date,early 2021; second of two Miniland improvements
2021-04-07,294.948,4:54.948,Niftski,verified,flagpole glitch plus 8-1 fast acceleration
2022-08-05,294.798,4:54.798,Niftski,approx-date,August 2022
2023-09-05,294.631,4:54.631,Niftski,approx-date,September 2023
2025-01-10,294.565,4:54.565,Niftski,verified,Guinness-covered run
2025-07-01,294.482,4:54.482,Niftski,approx-date,standing record as of October 2025; 0.216 s above the tool-assisted limit
