date,datetime_utc,score,toffoli,qubits,solver,ai_tool_in_note
2026-05-30,2026-05-30 07:41:45,10753444395,3960753,2715,Chris-Moller,
2026-05-30,2026-05-30 07:59:57,10751761095,3960133,2715,saucegodbased,
2026-05-30,2026-05-30 17:25:12,10704574395,3942753,2715,philuponcrypto,
2026-05-30,2026-05-30 20:21:38,10698739917,3943509,2713,cryptogakusei,
2026-05-30,2026-05-30 21:14:21,10579872520,3904012,2710,vineetguptadev,
2026-05-30,2026-05-30 23:02:28,10572584432,3904204,2708,Gajesh2007,
2026-05-30,2026-05-30 23:37:42,10572302800,3904100,2708,Gajesh2007,
2026-05-31,2026-05-31 00:04:38,10398568352,3839944,2708,Gajesh2007,
2026-05-31,2026-05-31 00:49:06,10397877812,3839689,2708,Gajesh2007,
2026-05-31,2026-05-31 01:38:08,10395860352,3838944,2708,Gajesh2007,
2026-05-31,2026-05-31 02:38:57,10347216548,3820981,2708,Gajesh2007,
2026-05-31,2026-05-31 04:02:30,10344443556,3819957,2708,cryptogakusei,
2026-05-31,2026-05-31 04:16:44,10322446472,3811834,2708,Gajesh2007,no
2026-05-31,2026-05-31 08:30:34,10318536120,3810390,2708,chainyoda,no
2026-05-31,2026-05-31 11:44:15,9604339032,3546654,2708,Gajesh2007,no
2026-05-31,2026-05-31 15:45:04,9603905752,3546494,2708,cryptogakusei,yes
2026-05-31,2026-05-31 16:29:10,9591310844,3541843,2708,mmurrs,yes
2026-05-31,2026-05-31 17:00:56,9591294596,3541837,2708,mmurrs,yes
2026-05-31,2026-05-31 20:03:22,8445450090,3656039,2310,Gajesh2007,no
2026-05-31,2026-05-31 21:05:44,8405420100,3638710,2310,philuponcrypto,yes
2026-06-01,2026-06-01 00:59:53,8398781999,3637411,2309,saucegodbased,yes
2026-06-01,2026-06-01 02:36:22,8372879130,3624623,2310,bxue-l2,yes
2026-06-01,2026-06-01 03:58:02,8367457560,3622276,2310,Gajesh2007,no
2026-06-01,2026-06-01 04:48:41,7765663290,3361759,2310,Gajesh2007,yes
2026-06-01,2026-06-01 05:10:38,7757626800,3358280,2310,Gajesh2007,yes
2026-06-01,2026-06-01 05:31:23,7756453320,3357772,2310,Gajesh2007,yes
2026-06-01,2026-06-01 06:01:08,7754110980,3356758,2310,Gajesh2007,yes
2026-06-01,2026-06-01 07:28:28,7077100800,3063680,2310,Gajesh2007,no
2026-06-01,2026-06-01 07:59:23,7074763080,3062668,2310,Gajesh2007,yes
2026-06-01,2026-06-01 08:14:58,6964659240,3015004,2310,Gajesh2007,yes
2026-06-01,2026-06-01 08:45:22,6961644236,3015004,2309,Gajesh2007,yes
2026-06-01,2026-06-01 09:29:31,6865358936,2973304,2309,Gajesh2007,no
2026-06-01,2026-06-01 09:44:31,6764917436,2929804,2309,Gajesh2007,yes
2026-06-01,2026-06-01 14:59:20,6626924669,2870041,2309,Gajesh2007,no
2026-06-01,2026-06-01 15:27:08,6616811249,2865661,2309,Gajesh2007,no
2026-06-01,2026-06-01 16:19:53,6564355387,2842943,2309,Gajesh2007,no
2026-06-01,2026-06-01 16:41:10,6550820029,2837081,2309,anupsv,yes
2026-06-01,2026-06-01 17:02:18,6540623485,2832665,2309,anupsv,yes
2026-06-01,2026-06-01 17:17:32,6526487787,2826543,2309,Gajesh2007,no
2026-06-01,2026-06-01 17:42:41,6508057349,2818561,2309,Gajesh2007,no
2026-06-01,2026-06-01 17:53:51,6496336865,2813485,2309,Gajesh2007,yes
2026-06-01,2026-06-01 17:58:15,6492420801,2811789,2309,Gajesh2007,no
2026-06-01,2026-06-01 18:02:20,6489215909,2810401,2309,Gajesh2007,yes
2026-06-01,2026-06-01 18:11:21,6461895821,2798569,2309,Gajesh2007,yes
2026-06-01,2026-06-01 18:20:13,6453615747,2794983,2309,Gajesh2007,yes
2026-06-01,2026-06-01 18:24:08,6040110791,2615899,2309,Gajesh2007,no
2026-06-01,2026-06-01 18:32:49,6035298835,2613815,2309,Gajesh2007,yes
2026-06-01,2026-06-01 18:44:31,6028140935,2610715,2309,saucegodbased,yes
2026-06-01,2026-06-01 18:46:35,5976793393,2588477,2309,anupsv,yes
2026-06-01,2026-06-01 19:01:48,5975181711,2587779,2309,anupsv,yes
2026-06-01,2026-06-01 19:05:00,5935088235,2570415,2309,Gajesh2007,yes
2026-06-01,2026-06-01 19:22:41,5882154410,2547490,2309,solimander,no
2026-06-01,2026-06-01 19:36:04,5686868426,2462914,2309,Gajesh2007,yes
2026-06-01,2026-06-01 20:35:03,5653140863,2448307,2309,jtrose24,yes
2026-06-01,2026-06-01 21:02:12,5632468386,2439354,2309,anupsv,no
2026-06-01,2026-06-01 21:09:02,5622396528,2434992,2309,anupsv,no
2026-06-01,2026-06-01 21:41:58,5597330024,2424136,2309,mpjunior92,yes
2026-06-01,2026-06-01 22:08:04,5585083088,2418832,2309,anupsv,no
2026-06-01,2026-06-01 22:32:41,5574826510,2414390,2309,mpjunior92,yes
2026-06-02,2026-06-02 00:23:49,5562678861,2409129,2309,jtrose24,yes
2026-06-02,2026-06-02 00:59:58,5561829149,2408761,2309,Gajesh2007,yes
2026-06-02,2026-06-02 01:08:33,5549529106,2403434,2309,Gajesh2007,no
2026-06-02,2026-06-02 01:18:37,5548420786,2402954,2309,anupsv,no
2026-06-02,2026-06-02 02:08:53,5547081566,2402374,2309,mpjunior92,yes
2026-06-02,2026-06-02 02:17:09,5185018575,2560503,2025,Gajesh2007,yes
2026-06-02,2026-06-02 02:52:58,5183333775,2559671,2025,Epistetechnician,yes
2026-06-02,2026-06-02 03:11:38,5182912575,2559463,2025,antojoseph,yes
2026-06-02,2026-06-02 03:21:04,5182432650,2559226,2025,0xpg,yes
2026-06-02,2026-06-02 03:39:41,5180353112,2559463,2024,antojoseph,yes
2026-06-02,2026-06-02 03:52:16,5180304536,2559439,2024,antojoseph,yes
2026-06-02,2026-06-02 04:06:44,5166820098,2575683,2006,Gajesh2007,no
2026-06-02,2026-06-02 04:33:34,5166788002,2575667,2006,xadenryan,yes
2026-06-02,2026-06-02 04:39:31,5166017698,2575283,2006,josusanmartin,yes
2026-06-02,2026-06-02 04:51:08,5160257102,2577551,2002,nandy-technologies,yes
2026-06-02,2026-06-02 05:08:16,5158663510,2576755,2002,antojoseph,yes
2026-06-02,2026-06-02 05:08:23,5157758606,2576303,2002,0xpg,yes
2026-06-02,2026-06-02 05:28:25,5148949806,2571903,2002,0xpg,yes
2026-06-02,2026-06-02 05:39:11,5121484498,2553083,2006,anupsv,no
2026-06-02,2026-06-02 06:00:02,5120690122,2552687,2006,owizdom,yes
2026-06-02,2026-06-02 06:03:01,4156442508,2447846,1698,pldallairedemers,yes
2026-06-02,2026-06-02 06:23:40,4148020428,2442886,1698,josusanmartin,yes
2026-06-02,2026-06-02 06:32:49,4131013260,2432870,1698,anupsv,no
2026-06-02,2026-06-02 06:46:35,4096509900,2412550,1698,owizdom,yes
2026-06-02,2026-06-02 06:53:39,4068676284,2396158,1698,Gajesh2007,yes
2026-06-02,2026-06-02 07:05:25,3775248300,2223350,1698,saucegodbased,yes
2026-06-02,2026-06-02 07:12:31,3538424844,2083878,1698,owizdom,yes
2026-06-02,2026-06-02 07:28:00,3364984332,1981734,1698,saucegodbased,yes
2026-06-02,2026-06-02 07:39:15,3315144636,1952382,1698,jtrose24,yes
2026-06-02,2026-06-02 07:49:10,3274494516,1928442,1698,saucegodbased,yes
2026-06-02,2026-06-02 07:58:10,3270229140,1925930,1698,megabyte0x,yes
2026-06-02,2026-06-02 08:03:06,3161659020,1861990,1698,Epistetechnician,yes
2026-06-02,2026-06-02 08:15:13,3121008900,1838050,1698,saucegodbased,yes
2026-06-02,2026-06-02 08:21:22,2893538028,1704086,1698,Gajesh2007,yes
2026-06-02,2026-06-02 08:34:13,2892132084,1703258,1698,pldallairedemers,yes
2026-06-02,2026-06-02 08:48:09,2882472162,1697569,1698,Gajesh2007,yes
2026-06-02,2026-06-02 08:59:22,2873320661,1697177,1693,M3kko,no
2026-06-02,2026-06-02 09:07:58,2871482706,1691097,1698,Gajesh2007,yes
2026-06-02,2026-06-02 09:11:45,2867957237,1694009,1693,Epistetechnician,yes
2026-06-02,2026-06-02 09:11:56,2841822042,1673629,1698,josusanmartin,yes
2026-06-02,2026-06-02 09:26:17,2836402026,1670437,1698,Epistetechnician,yes
2026-06-02,2026-06-02 09:29:30,2833542594,1668753,1698,Gajesh2007,yes
2026-06-02,2026-06-02 09:53:12,2832673218,1668241,1698,Epistetechnician,yes
2026-06-02,2026-06-02 10:09:16,2831586498,1667601,1698,Gajesh2007,yes
2026-06-02,2026-06-02 10:30:02,2830370730,1666885,1698,mpjunior92,yes
2026-06-02,2026-06-02 10:32:43,2823714570,1662965,1698,mpjunior92,yes
2026-06-02,2026-06-02 10:41:11,2822498802,1662249,1698,mpjunior92,yes
2026-06-02,2026-06-02 10:52:48,2783850084,1770897,1572,saucegodbased,yes
2026-06-02,2026-06-02 11:11:13,2769217908,1761589,1572,anupsv,no
2026-06-02,2026-06-02 11:36:23,2750982708,1749989,1572,mpjunior92,yes
2026-06-02,2026-06-02 12:00:00,2745964884,1746797,1572,ptrdsh,yes
2026-06-02,2026-06-02 12:12:24,2744218087,1746797,1571,pldallairedemers,yes
2026-06-02,2026-06-02 12:35:51,2741710771,1745201,1571,solimander,yes
2026-06-02,2026-06-02 12:53:17,2738776143,1743333,1571,mpjunior92,yes
2026-06-02,2026-06-02 13:01:39,2736953783,1742173,1571,mpjunior92,yes
2026-06-02,2026-06-02 13:10:40,2736895656,1742136,1571,prasiddhnaik,yes
2026-06-02,2026-06-02 13:18:14,2731939151,1738981,1571,mpjunior92,yes
2026-06-02,2026-06-02 13:23:00,2647454335,1689505,1567,solimander,yes
2026-06-02,2026-06-02 14:01:42,2642452471,1686313,1567,mpjunior92,yes
2026-06-02,2026-06-02 14:02:45,2641202005,1685515,1567,solimander,yes
2026-06-02,2026-06-02 14:27:22,2638694805,1683915,1567,mpjunior92,yes
2026-06-02,2026-06-02 14:52:55,2637203021,1682963,1567,pldallairedemers,yes
2026-06-02,2026-06-02 15:24:35,2630999274,1688703,1558,mpjunior92,yes
2026-06-02,2026-06-02 16:20:53,2620444497,1698279,1543,mpjunior92,yes
2026-06-02,2026-06-02 16:28:50,2616750555,1695885,1543,mpjunior92,yes
2026-06-02,2026-06-02 16:47:41,2615519241,1695087,1543,10d9e,yes
2026-06-02,2026-06-02 16:51:43,2615281619,1694933,1543,josusanmartin,yes
2026-06-02,2026-06-02 17:29:18,2614737018,1695679,1542,anupsv,no
2026-06-02,2026-06-02 17:38:30,2595571337,1682159,1543,bxue-l2,yes
2026-06-02,2026-06-02 17:55:50,2593889178,1682159,1542,bxue-l2,yes
2026-06-02,2026-06-02 18:12:18,2592421194,1681207,1542,josusanmartin,yes
2026-06-02,2026-06-02 18:32:36,2592370365,1682265,1541,fortunexbt,yes
2026-06-02,2026-06-02 18:32:47,2590854522,1680191,1542,josusanmartin,yes
2026-06-02,2026-06-02 19:35:52,2578075500,1718717,1500,10d9e,yes
2026-06-02,2026-06-02 20:02:50,2574991500,1716661,1500,mmurrs,yes
2026-06-02,2026-06-02 20:19:24,2539526878,1732283,1466,mpjunior92,yes
2026-06-02,2026-06-02 21:11:52,2535067306,1729241,1466,pldallairedemers,yes
2026-06-02,2026-06-02 21:37:28,2533577850,1728225,1466,10d9e,yes
2026-06-02,2026-06-02 21:57:46,2511992646,1737201,1446,pldallairedemers,yes
2026-06-02,2026-06-02 22:33:34,2510523510,1736185,1446,Epistetechnician,yes
2026-06-02,2026-06-02 22:57:28,2508895314,1735059,1446,alexander-sei,yes
2026-06-02,2026-06-02 23:10:34,2505981621,1736647,1443,mpjunior92,yes
2026-06-03,2026-06-03 00:51:38,2505508317,1736319,1443,phileigenlabs,yes
2026-06-03,2026-06-03 02:36:41,2498876289,1731723,1443,twangodev,yes
2026-06-03,2026-06-03 02:36:48,2497479574,1736773,1438,Sam-Scolari,yes
2026-06-03,2026-06-03 02:50:52,2493939666,1739149,1434,nikhiljha,no
2026-06-03,2026-06-03 03:23:30,2485943682,1733573,1434,twangodev,yes
2026-06-03,2026-06-03 06:18:17,2484807954,1732781,1434,twangodev,yes
2026-06-03,2026-06-03 06:33:45,2482854846,1731419,1434,aburan28,yes
2026-06-03,2026-06-03 07:00:57,2481329070,1730355,1434,BitWonka,yes
2026-06-03,2026-06-03 08:45:14,2480196210,1729565,1434,BitWonka,yes
2026-06-03,2026-06-03 14:35:06,2479548042,1729113,1434,BitWonka,yes
2026-06-03,2026-06-03 15:47:08,2478050946,1728069,1434,aburan28,yes
2026-06-03,2026-06-03 16:51:34,2476507962,1726993,1434,10d9e,yes
2026-06-03,2026-06-03 16:54:45,2471488962,1723493,1434,aburan28,yes
2026-06-03,2026-06-03 17:08:50,2461901238,1716807,1434,nikhiljha,yes
2026-06-03,2026-06-03 17:24:03,2455281894,1712191,1434,aburan28,yes
2026-06-03,2026-06-03 18:23:32,2448401676,1714567,1428,nikhiljha,yes
2026-06-03,2026-06-03 19:08:04,2445362892,1712439,1428,aburan28,yes
2026-06-03,2026-06-03 20:14:55,2442213432,1724727,1416,nikhiljha,yes
2026-06-03,2026-06-03 20:42:34,2439135048,1722553,1416,aburan28,yes
2026-06-03,2026-06-03 20:43:29,2437039251,1724727,1413,nikhiljha,yes
2026-06-03,2026-06-03 20:59:39,2433948191,1724981,1411,nikhiljha,no
2026-06-03,2026-06-03 21:36:15,2430923007,1722837,1411,teddyjfpender,yes
2026-06-03,2026-06-03 22:06:17,2413540905,1781211,1355,nikhiljha,no
2026-06-03,2026-06-03 22:17:29,2410635785,1779067,1355,harrigan,yes
2026-06-03,2026-06-03 23:22:50,2409942025,1778555,1355,mpjunior92,yes
2026-06-03,2026-06-03 23:26:44,2407112785,1776467,1355,mpjunior92,yes
2026-06-03,2026-06-03 23:57:16,2405410905,1775211,1355,mpjunior92,yes
2026-06-04,2026-06-04 03:26:03,2402429905,1773011,1355,PhantasticUniverse,yes
2026-06-04,2026-06-04 06:12:51,2399448905,1770811,1355,stevenhao,no
2026-06-04,2026-06-04 07:00:59,2381382450,1763987,1350,stevenhao,no
2026-06-05,2026-06-05 05:25:58,2379298050,1762443,1350,PhantasticUniverse,yes
2026-06-05,2026-06-05 05:32:07,2271454694,1629451,1394,johnbxx,yes
2026-06-05,2026-06-05 05:53:02,2266376930,1630487,1390,robertkodra,yes
2026-06-05,2026-06-05 06:09:51,2257725570,1624263,1390,johnbxx,yes
2026-06-05,2026-06-05 06:33:52,2228168610,1602999,1390,newjordan,yes
2026-06-05,2026-06-05 06:44:32,2222564130,1598967,1390,robertkodra,yes
2026-06-05,2026-06-05 06:51:31,2221196370,1597983,1390,PhantasticUniverse,yes
2026-06-05,2026-06-05 06:54:38,2195953970,1579823,1390,newjordan,yes
2026-06-05,2026-06-05 06:54:53,2156477970,1551423,1390,johnbxx,yes
2026-06-05,2026-06-05 07:08:30,2155032370,1550383,1390,newjordan,yes
2026-06-05,2026-06-05 07:12:16,2150339730,1547007,1390,newjordan,yes
2026-06-05,2026-06-05 07:15:33,2132814610,1534399,1390,newjordan,yes
2026-06-05,2026-06-05 07:33:33,2131446850,1533415,1390,PhantasticUniverse,yes
2026-06-05,2026-06-05 07:57:06,2130373770,1532643,1390,PhantasticUniverse,yes
2026-06-05,2026-06-05 08:41:48,2130112450,1532455,1390,robertkodra,yes
2026-06-05,2026-06-05 09:08:49,2129300690,1531871,1390,robertkodra,yes
2026-06-05,2026-06-05 09:49:11,2128580670,1531353,1390,10d9e,yes
2026-06-05,2026-06-05 10:44:12,2127246270,1530393,1390,robertkodra,yes
2026-06-05,2026-06-05 11:48:41,2126009170,1529503,1390,robertkodra,yes
2026-06-05,2026-06-05 11:50:32,2112431650,1519735,1390,alexander-sei,yes
2026-06-05,2026-06-05 12:00:04,2111711630,1519217,1390,10d9e,yes
2026-06-05,2026-06-05 12:08:33,2110268810,1518179,1390,factory-sagar,yes
2026-06-05,2026-06-05 12:32:36,2092653422,1514221,1382,10d9e,yes
2026-06-05,2026-06-05 13:39:29,2091901614,1513677,1382,10d9e,yes
2026-06-05,2026-06-05 14:03:50,2091370926,1513293,1382,10d9e,yes
2026-06-05,2026-06-05 14:15:10,2089123794,1511667,1382,mpjunior92,yes
2026-06-05,2026-06-05 14:15:54,2066350440,1565417,1320,teddyjfpender,yes
2026-06-05,2026-06-05 14:25:54,2064481320,1564001,1320,newjordan,yes
2026-06-05,2026-06-05 14:30:27,2064288600,1563855,1320,newjordan,yes
2026-06-05,2026-06-05 14:34:23,2060867160,1561263,1320,PhantasticUniverse,yes
2026-06-05,2026-06-05 14:37:16,2060368200,1560885,1320,10d9e,yes
2026-06-05,2026-06-05 14:48:44,2055555480,1557239,1320,mpjunior92,yes
2026-06-05,2026-06-05 15:01:37,2054166840,1556187,1320,mpjunior92,yes
2026-06-05,2026-06-05 15:41:33,2053654290,1553445,1322,robertkodra,yes
2026-06-05,2026-06-05 15:49:09,2052625080,1555019,1320,zuiris,yes
2026-06-05,2026-06-05 16:07:48,2051896440,1554467,1320,newjordan,yes
2026-06-05,2026-06-05 16:35:14,2050755960,1553603,1320,robertkodra,yes
2026-06-05,2026-06-05 16:48:50,2050391640,1553327,1320,robertkodra,yes
2026-06-05,2026-06-05 17:04:07,2049235320,1552451,1320,robertkodra,yes
2026-06-05,2026-06-05 17:12:07,2048453880,1551859,1320,factory-sagar,yes
2026-06-05,2026-06-05 17:17:03,2047176120,1550891,1320,zuiris,yes
2026-06-05,2026-06-05 19:03:21,2046711480,1550539,1320,AnalyticETH,yes
2026-06-05,2026-06-05 19:28:53,2040438840,1545787,1320,PhantasticUniverse,yes
2026-06-05,2026-06-05 20:03:21,2037843720,1543821,1320,robertkodra,yes
2026-06-05,2026-06-05 20:06:35,2036687400,1542945,1320,robertkodra,yes
2026-06-05,2026-06-05 20:19:54,2033268600,1540355,1320,robertkodra,yes
2026-06-05,2026-06-05 20:38:26,2030459640,1538227,1320,10d9e,yes
2026-06-05,2026-06-05 20:46:54,2027030280,1535629,1320,10d9e,yes
2026-06-05,2026-06-05 20:55:02,2025879240,1534757,1320,10d9e,yes
2026-06-05,2026-06-05 21:13:11,2025245640,1534277,1320,10d9e,yes
2026-06-05,2026-06-05 21:25:49,2023711363,1534277,1319,zuiris,yes
2026-06-05,2026-06-05 21:40:44,2022023043,1532997,1319,newjordan,yes
2026-06-05,2026-06-05 21:49:58,2020184357,1531603,1319,newjordan,yes
