release_date,solufile,better_incumbents,new_optimal_solutions,first_known_feasible,optimal_status_only,source_url
2019-08-26,8,4,0,0,0,https://miplib.zib.de/news.html
2019-09-30,9,4,0,0,0,https://miplib.zib.de/news.html
2019-11-20,10,8,0,5,0,https://miplib.zib.de/news.html
2019-12-19,11,115,0,10,0,https://miplib.zib.de/news.html
2020-02-11,12,86,3,2,0,https://miplib.zib.de/news.html
2020-02-24,13,7,15,0,0,https://miplib.zib.de/news.html
2020-03-25,14,20,5,0,0,https://miplib.zib.de/news.html
2020-05-24,15,49,2,0,0,https://miplib.zib.de/news.html
2020-06-22,16,11,2,0,0,https://miplib.zib.de/news.html
2020-08-03,17,14,0,0,0,https://miplib.zib.de/news.html
2020-10-27,18,11,0,0,0,https://miplib.zib.de/news.html
2021-05-20,19,11,0,0,0,https://miplib.zib.de/news.html
2022-02-24,21,14,0,0,0,https://miplib.zib.de/news.html
2022-03-08,22,1,2,0,3,https://miplib.zib.de/news.html
2022-07-21,23,12,4,0,0,https://miplib.zib.de/news.html
2022-09-28,24,7,0,0,0,https://miplib.zib.de/news.html
2022-11-25,25,5,1,0,0,https://miplib.zib.de/news.html
2023-07-28,26,34,5,1,0,https://miplib.zib.de/news.html
2024-02-29,27,4,1,0,0,https://miplib.zib.de/news.html
2024-04-17,28,44,1,0,0,https://miplib.zib.de/news.html
2024-06-18,29,6,0,0,0,https://miplib.zib.de/news.html
2024-07-09,30,18,0,2,0,https://miplib.zib.de/news.html
2024-07-18,31,22,0,2,0,https://miplib.zib.de/news.html
2024-10-07,32,28,0,1,0,https://miplib.zib.de/news.html
2024-11-14,33,15,0,1,0,https://miplib.zib.de/news.html
2025-01-20,34,8,0,4,0,https://miplib.zib.de/news.html
2025-03-07,35,1,0,0,0,https://miplib.zib.de/news.html
2026-01-26,36,40,0,0,0,https://miplib.zib.de/news.html
