date,release,elo_vs_sf15,elo_err
2013-04-30,3,-537.61,7.82
2013-06-08,,-517.44,7.34
2013-06-17,,-528.7,15.2
2013-07-02,,-511.68,7.21
2013-07-13,,-518.96,7.36
2013-07-20,,-506.54,7.1
2013-08-01,,-509.41,7.18
2013-08-20,4,-509.41,7.15
2013-08-29,,-504.5,7.03
2013-09-05,,-493.86,6.83
2013-09-11,,-493.61,6.81
2013-09-15,,-495.12,6.85
2013-09-27,,-494.86,6.84
2013-10-09,,-476.3,6.44
2013-10-18,,-480.94,6.55
2013-10-23,,-473.35,6.39
2013-11-07,,-471.1,6.37
2013-11-10,,-469.11,6.3
2013-11-29,,-507.34,7.11
2013-12-03,,-462.02,6.19
2013-12-09,,-468.67,6.29
2013-12-27,,-458.99,6.11
2014-01-02,,-461.88,6.18
2014-01-11,,-452.58,5.99
2014-01-27,,-459.9,6.14
2014-02-09,,-451.3,5.97
2014-02-15,,-457.66,6.08
2014-03-01,,-448.89,5.91
2014-03-11,,-454.83,6.03
2014-03-15,,-450.29,5.94
2014-03-23,,-454.08,6.02
2014-03-30,,-442.73,5.79
2014-04-06,,-453.74,6.01
2014-04-12,,-460.6,6.11
2014-04-20,,-457.11,6.08
2014-04-25,,-453.06,5.99
2014-04-28,,-456.62,6.05
2014-05-04,,-454.08,6.01
2014-05-11,,-463.16,6.2
2014-05-31,5,-447.82,5.87
2014-06-06,,-453.6,6.01
2014-06-20,,-444.41,5.85
2014-07-01,,-440.99,5.77
2014-07-27,,-440.54,5.75
2014-08-09,,-444.61,5.82
2014-09-28,,-432.71,5.59
2014-10-26,,-441.12,5.75
2014-11-01,,-424.81,5.45
2014-11-07,,-436.43,5.67
2014-11-17,,-436.43,5.67
2014-11-30,,-435.68,5.66
2014-12-11,,-433.63,5.59
2015-01-02,,-425.34,5.46
2015-01-13,,-424.69,5.46
2015-01-20,,-425.7,5.48
2015-01-27,6,-418.29,5.35
2015-02-01,,-429.9,5.56
2015-02-08,,-421.29,5.38
2015-02-19,,-425.64,5.47
2015-02-23,,-422.81,5.42
2015-03-07,,-431.0,5.59
2015-03-15,,-429.72,5.55
2015-03-23,,-434.87,5.66
2015-04-03,,-421.0,5.38
2015-05-06,,-423.63,5.46
2015-06-13,,-418.4,5.35
2015-08-04,,-407.4,5.14
2015-09-18,,-413.92,5.31
2015-10-20,,-411.91,5.27
2015-11-13,,-398.81,5.01
2015-12-14,,-388.96,4.87
2016-01-02,7,-382.66,4.74
2016-01-18,,-388.31,4.84
2016-02-21,,-380.69,4.75
2016-03-27,,-384.81,4.8
2016-04-08,,-384.22,4.77
2016-05-01,,-383.1,4.75
2016-05-20,,-373.64,4.64
2016-06-10,,-369.0,4.54
2016-06-24,,-364.18,4.46
2016-08-01,,-357.81,4.35
2016-08-25,,-351.99,4.27
2016-08-31,,-345.87,4.18
2016-09-11,,-344.36,4.15
2016-09-17,,-344.89,4.15
2016-10-05,,-340.51,4.09
2016-10-19,,-340.27,4.06
2016-11-01,8,-334.1,3.96
2016-11-12,,-331.19,3.93
2016-12-01,,-332.27,3.95
2017-01-01,,-329.54,3.92
2017-01-11,,-331.35,3.94
2017-02-15,,-329.54,3.89
2017-03-17,,-328.7,3.91
2017-04-23,,-324.76,3.84
2017-05-10,,-324.99,3.82
2017-06-21,,-317.92,3.74
2017-07-24,,-317.23,3.74
2017-08-17,,-315.38,3.69
2017-08-26,,-317.38,3.72
2017-10-02,,-313.05,3.67
2017-11-18,,-313.09,3.67
2017-12-18,,-305.73,3.57
2018-01-31,9,-323.94,3.86
2018-02-18,,-320.45,3.86
2018-02-27,,-321.01,3.87
2018-03-07,,-316.87,3.8
2018-03-18,,-315.28,3.78
2018-04-01,,-311.7,3.72
2018-04-23,,-315.49,3.75
2018-05-08,,-309.01,3.66
2018-05-30,,-303.9,3.61
2018-06-20,,-319.09,3.84
2018-07-18,,-321.26,3.9
2018-07-25,,-319.61,3.88
2018-08-09,,-315.75,3.8
2018-09-01,,-304.31,3.64
2018-10-23,,-293.42,3.46
2018-11-19,,-298.59,3.54
2018-11-29,10,-298.62,3.52
2018-12-16,,-286.32,3.33
2019-01-04,,-291.58,3.43
2019-02-01,,-283.87,3.3
2019-03-09,,-281.78,3.3
2019-04-06,,-282.72,3.31
2019-04-27,,-284.37,3.31
2019-05-15,,-277.21,3.22
2019-06-14,,-274.28,3.19
2019-07-11,,-276.56,3.23
2019-07-26,,-272.27,3.14
2019-09-14,,-270.6,3.13
2019-09-27,,-266.4,3.1
2019-10-23,,-265.6,3.07
2019-11-19,,-262.54,2.96
2019-12-10,,-257.02,2.95
2020-01-18,11,-261.04,2.97
2020-01-23,,-262.98,3.01
2020-01-23,,-258.89,2.94
2020-01-23,,-259.79,2.99
2020-01-23,,-264.39,3.01
2020-01-23,,-263.45,3.02
2020-01-23,,-260.99,3.01
2020-01-23,,-260.37,2.98
2020-01-23,,-262.1,3.01
2020-01-23,,-258.66,2.92
2020-01-23,,-260.55,2.97
2020-01-25,,-259.27,2.94
2020-01-27,,-257.25,2.95
2020-01-27,,-256.96,2.92
2020-01-27,,-259.59,2.98
2020-01-28,,-261.66,2.99
