quarter,total,ai_attributed,other_attributed
2000-Q4,1,0,1
2003-Q3,1,0,1
2005-Q1,1,0,1
2005-Q4,2,0,2
2006-Q1,1,0,1
2007-Q3,1,0,1
2009-Q1,1,0,1
2009-Q3,1,0,1
2010-Q1,1,0,1
2010-Q4,1,0,1
2011-Q2,1,0,1
2012-Q1,2,0,2
2013-Q1,1,0,1
2013-Q2,2,0,2
2013-Q4,2,0,2
2014-Q1,5,0,5
2014-Q3,2,0,2
2014-Q4,1,0,1
2015-Q1,2,0,2
2015-Q2,7,0,7
2016-Q1,2,0,2
2016-Q2,2,0,2
2016-Q3,5,0,5
2016-Q4,15,0,15
2017-Q1,1,0,1
2017-Q2,3,0,3
2017-Q3,3,0,3
2017-Q4,5,0,5
2018-Q1,5,0,5
2018-Q2,2,0,2
2018-Q3,2,0,2
2018-Q4,3,0,3
2019-Q1,3,0,3
2019-Q2,3,0,3
2019-Q3,2,0,2
2020-Q2,2,0,2
2020-Q3,1,0,1
2020-Q4,3,0,3
2021-Q1,2,0,2
2021-Q2,3,0,3
2021-Q3,8,0,8
2022-Q2,14,0,14
2022-Q3,1,0,1
2022-Q4,6,0,6
2023-Q1,9,0,9
2023-Q2,4,0,4
2023-Q3,1,0,1
2023-Q4,4,0,4
2024-Q1,5,0,5
2024-Q3,4,0,4
2024-Q4,2,0,2
2025-Q1,3,0,3
2025-Q2,3,0,3
2025-Q3,2,1,1
2025-Q4,1,1,0
2026-Q1,10,3,7
2026-Q2,26,12,14
