year,unique_cves,unique_explicit_ai,unique_ai_affiliated,unique_fuzz,unique_other,total,mentions_explicit_ai,mentions_ai_affiliated,mentions_fuzz,mentions_other,ai_attributed,unique_ai_cves,fuzz_attributed,other_attributed,partial_year,data_through
2016,65,0,0,0,65,119,0,0,0,119,0,0,0,119,no,
2017,187,0,0,0,187,429,0,0,0,429,0,0,0,429,no,
2018,152,0,0,3,149,288,0,0,7,281,0,0,7,281,no,
2019,139,0,0,1,138,317,0,0,3,314,0,0,3,314,no,
2020,162,0,0,1,161,347,0,0,1,346,0,0,1,346,no,
2021,146,0,0,0,146,284,0,0,0,284,0,0,0,284,no,
2022,177,0,0,4,173,383,0,0,8,375,0,0,8,375,no,
2023,194,0,0,12,182,440,0,0,32,408,0,0,32,408,no,
2024,200,0,0,17,183,496,0,0,41,455,0,0,41,455,no,
2025,210,0,1,30,179,640,0,1,104,535,1,1,104,535,no,
2026,342,32,5,32,273,1140,123,14,108,895,137,37,108,895,yes,2026-08-04
