year,finder,category,cves
2016,Nils,other,19
2016,Mozilla developers,other,12
2016,Abhishek Arya,other,7
2016,Holger Fuhrmannek,other,6
2016,Atte Kettunen,other,5
2016,Multiple people,other,5
2016,Samuel Groß,other,4
2016,Wladimir Palant,other,4
2016,Andrew Krasichkov,other,3
2016,André Bargull,other,3
2016,Aral,other,3
2016,Brian Carpenter,other,3
2016,Franziskus Kiefer,other,3
2016,Jann Horn,other,3
2016,Mei Wang,other,3
2016,Philipp,other,3
2016,Yuyang Zhou,other,3
2016,echo,other,3
2016,insertscript,other,3
2016,Catalin Dumitru,other,2
2016,Ken Okuyama,other,2
2016,Kris Maglione,other,2
2016,Abdulrahman Alqabandi,other,1
2016,Alexander Inführ,other,1
2016,Bob Owen,other,1
2016,Daniel Browning,other,1
2016,Daniel D.,other,1
2016,Developers at Cliqz.com,other,1
2016,Filipe Gomes,other,1
2016,Gavin Sharp,other,1
2016,Gustavo Grieco,other,1
2016,Jordi Chancel,other,1
2016,Markus Stange,other,1
2016,Mats Palmgren,other,1
2016,Obscured Team,other,1
2016,Rafael Gieschke,other,1
2016,Raphael,other,1
2016,Richard Newman,other,1
2016,Will Bamberg,other,1
2016,Xiaoyin Liu,other,1
2017,Nils,other,88
2017,Mozilla developers and community,other,33
2017,Nicolas Grégoire,other,15
2017,Chamal De Silva,other,12
2017,Ivan Fratric of Google Project Zero,other,12
2017,Atte Kettunen,other,11
2017,Holger Fuhrmannek,other,10
2017,Jun Kokatsu,other,10
2017,Jerri Rice,other,9
2017,Jordi Chancel,other,8
2017,Abdulrahman Alqabandi,other,7
2017,Abhishek Arya,other,7
2017,Anonymous,other,7
2017,Rh0,other,7
2017,Muneaki Nishimura,other,6
2017,Seb Patane,other,6
2017,Haik Aftandilian,other,5
2017,Jann Horn,other,5
2017,Jose María Acuña,other,5
2017,Looben Yang,other,5
2017,Anton Eliasson,other,4
2017,Chun Han Hsiao,other,4
2017,David Kohlbrenner,other,4
2017,Eric Lawrence of Chrome Security,other,4
2017,Huzaifa Sidhpurwala,other,4
2017,Petr Cerny,other,4
2017,Ronald Crane,other,4
2017,Takeshi Terada,other,4
2017,"Vladimir Klebanov, Franziskus Kiefer",other,4
2017,Anonymous working with Trend Micro's Zero Day Initiative,other,3
2017,Armin Ebert,other,3
2017,Arthur Edelstein,other,3
2017,F. Alonso (revskills),other,3
2017,Filipe Gomes,other,3
2017,François Marier,other,3
2017,Fraser Tweedale,other,3
2017,Frederik Braun,other,3
2017,Heather Miller of Google Skia team,other,3
2017,"Holger Fuhrmannek, Tyson Smith",other,3
2017,Jonathan Birch and Microsoft Vulnerability Research,other,3
2017,Khalil Zhani,other,3
2017,Martin Thomson,other,3
2017,Mathias Karlsson,other,3
2017,Michał Bentkowski,other,3
2017,Nicolas Trippar of Zimperium zLabs,other,3
2017,Oliver Wagner,other,3
2017,Omair,other,3
2017,"Omair, Andre Weissflog",other,3
2017,Rhys Enniks,other,3
2017,Samuel Erb,other,3
2017,SkyLined,other,3
2017,Stephen Fewer,other,3
2017,Tobias Klein,other,3
2017,"Yuji Tounai of NTT Communications, Eili Masami of Tachibana Lab",other,3
2017,cure53,other,3
2017,Alex Bolton,other,2
2017,Chris Hamono,other,2
2017,Jed Davis,other,2
2017,Julian Hector,other,2
2017,Konark,other,2
2017,Oriol Brufau,other,2
2017,Paul Theriault,other,2
2017,Radek 'sysKin' Czyz,other,2
2017,Amit Sangra,other,1
2017,Anne van Kesteren,other,1
2017,Antonio Sanso,other,1
2017,Ben Kelly,other,1
2017,"Bob Clary, Looben Yang",other,1
2017,Chaitin Security Research Lab via Trend Micro's Zero Day Initiative,other,1
2017,Corey Bonnell,other,1
2017,Cullen Jennings,other,1
2017,Daniel Jackson,other,1
2017,Daniel Veditz,other,1
2017,Eric Lawrence,other,1
2017,Ezra Caltum,other,1
2017,Hanno Böck,other,1
2017,Haosheng Wang,other,1
2017,Honza Bambas,other,1
2017,Jim Chen,other,1
2017,Jonathan Kew,other,1
2017,Kestrel,other,1
2017,Kris Maglione,other,1
2017,Matt Howell,other,1
2017,Michal Zalewski,other,1
2017,Mike Kaply,other,1
2017,Mustafa Hasan,other,1
2017,"Paul Stone, Alex Chapman",other,1
2017,Raphael Saniyazov,other,1
2017,Rayyan Bijoora,other,1
2017,Sabri Haddouche,other,1
2017,Stuart Colville,other,1
2017,Thanh Bui,other,1
2017,Tooru Fujisawa,other,1
2017,Xiaoyin Liu,other,1
2018,Nils,other,61
2018,Mozilla developers and community,other,37
2018,Abdulrahman Alqabandi,other,16
2018,R at Zero Day LLC,other,9
2018,Jun Kokatsu,other,8
2018,Wladimir Palant,other,8
2018,OSS-Fuzz,fuzz,7
2018,Alex Gaynor,other,6
2018,Rob Wu,other,6
2018,"Damian Poddebniak, Christian Dresen, Jens Müller, Fabian Ising, Sebastian Schinzel, Simon Friedberger, Juraj Somorovsky, Jörg Schwenk",other,5
2018,David Black,other,5
2018,F. Alonso (revskills),other,5
2018,Andrea Marchesini,other,4
2018,James Lee (@Windowsrcer) of Kryptos Logic,other,4
2018,Root Object,other,4
2018,Anonymous,other,3
2018,Atte Kettunen,other,3
2018,Ben Kelly,other,3
2018,Filippo Cavallarin,other,3
2018,Holger Fuhrmannek,other,3
2018,Ivan Fratric,other,3
2018,James Grant,other,3
2018,Jimmy,other,3
2018,Jurgen Gaeremyn,other,3
2018,Looben Yang,other,3
2018,Masato Kinugawa,other,3
2018,Omair,other,3
2018,Philipp,other,3
2018,Zhanjia Song,other,3
2018,anonymous,other,3
2018,xisigr of Tencent's Xuanwu Lab,other,3
2018,Andy McKay,other,2
2018,James Lee of Kryptos Logic,other,2
2018,Jana Squires,other,2
2018,Jonathan Kingston,other,2
2018,Jordi Chancel,other,2
2018,Khalil Zhani,other,2
2018,Mozilla Developers,other,2
2018,Richard Zhu via Trend Micro's Zero Day Initiative,other,2
2018,"Rob Wu, Andrew Swan",other,2
2018,Tony Paloma,other,2
2018,cure53,other,2
2018,Andreas Pehrson,other,1
2018,Andreas Perhson,other,1
2018,"Björn Ruytenberg, 1lastBr3ath",other,1
2018,"Bruno Keith, Niklas Baumstark via Beyond Security’s SecuriTeam Secure Disclosure program",other,1
2018,Casper of Tencent's Xuanwu Lab,other,1
2018,David Parks,other,1
2018,Dennis Fuchs,other,1
2018,Francois Lajeunesse Robert,other,1
2018,François Lajeunesse-Robert,other,1
2018,Guyio,other,1
2018,Hanno Boeck,other,1
2018,Hanno Böck,other,1
2018,Huzaifa Sidhpurwala,other,1
2018,Inko,other,1
2018,Ivan Fratric of Google Project Zero,other,1
2018,Jerry Decime,other,1
2018,Jesse Schwartzentruber,other,1
2018,Kestrel,other,1
2018,Konark Modi,other,1
2018,Mario Gomes,other,1
2018,Mathias Wu,other,1
2018,Nicolas B. Pierron,other,1
