quarter,unique_cves,explicit_ai,ai_affiliated,fuzz,other,partial_quarter,data_through
2016-Q3,20,0,0,0,20,no,
2016-Q4,45,0,0,0,45,no,
2017-Q1,54,0,0,0,54,no,
2017-Q2,64,0,0,0,64,no,
2017-Q3,47,0,0,0,47,no,
2017-Q4,22,0,0,0,22,no,
2018-Q1,56,0,0,2,54,no,
2018-Q2,53,0,0,1,52,no,
2018-Q3,14,0,0,0,14,no,
2018-Q4,29,0,0,0,29,no,
2019-Q1,38,0,0,0,38,no,
2019-Q2,29,0,0,1,28,no,
2019-Q3,46,0,0,0,46,no,
2019-Q4,26,0,0,0,26,no,
2020-Q1,34,0,0,1,33,no,
2020-Q2,48,0,0,0,48,no,
2020-Q3,35,0,0,0,35,no,
2020-Q4,45,0,0,0,45,no,
2021-Q1,41,0,0,0,41,no,
2021-Q2,34,0,0,0,34,no,
2021-Q3,31,0,0,0,31,no,
2021-Q4,40,0,0,0,40,no,
2022-Q1,43,0,0,3,40,no,
2022-Q2,62,0,0,0,62,no,
2022-Q3,33,0,0,1,32,no,
2022-Q4,39,0,0,0,39,no,
2023-Q1,49,0,0,0,49,no,
2023-Q2,42,0,0,0,42,no,
2023-Q3,57,0,0,9,48,no,
2023-Q4,46,0,0,3,43,no,
2024-Q1,50,0,0,5,45,no,
2024-Q2,53,0,0,5,48,no,
2024-Q3,47,0,0,4,43,no,
2024-Q4,35,0,0,2,33,no,
2025-Q1,51,0,0,9,42,no,
2025-Q2,60,0,0,8,52,no,
2025-Q3,52,0,0,6,46,no,
2025-Q4,47,0,1,7,39,no,
2026-Q1,126,28,0,6,92,no,
2026-Q2,146,3,1,21,121,no,
2026-Q3,70,1,4,5,60,yes,2026-08-04
