month,cves,explicit_ai,ai_affiliated,fuzz,other
2016-01,19,0,0,0,19
2016-04,28,0,0,0,28
2016-05,33,0,0,0,33
2016-06,36,0,0,0,36
2016-07,40,0,0,0,40
2016-08,27,0,0,0,27
2016-09,48,0,0,0,48
2016-10,33,0,0,0,33
2016-11,67,0,0,0,67
2016-12,40,0,0,0,40
2017-01,3,0,0,0,3
2017-03,134,0,0,0,134
2017-04,44,0,0,0,44
2017-05,65,0,0,0,65
2017-06,99,0,0,0,99
2017-07,57,0,0,0,57
2017-08,51,0,0,0,51
2017-09,82,0,0,0,82
2017-11,53,0,0,0,53
2017-12,34,0,0,0,34
2018-01,60,0,0,0,60
2018-02,51,0,0,0,51
2018-03,75,0,0,0,75
2018-04,68,0,0,0,68
2018-05,69,0,0,0,69
2018-06,50,0,0,0,50
2018-07,53,0,0,0,53
2018-08,60,0,0,0,60
2018-10,51,0,0,0,51
2018-11,62,0,0,0,62
2018-12,40,0,0,0,40
2019-01,52,0,0,0,52
2019-02,76,0,0,0,76
2019-03,65,0,0,0,65
2019-04,74,0,0,0,74
2019-05,79,0,0,0,79
2019-06,89,0,0,0,89
2019-07,78,0,0,0,78
2019-08,95,0,0,0,95
2019-09,81,0,0,0,81
2019-10,61,0,0,0,61
2019-11,76,0,0,0,76
2019-12,37,0,0,0,37
2020-01,49,0,0,0,49
2020-02,101,0,0,0,101
2020-06,132,0,0,0,132
2020-07,124,0,0,0,124
2020-08,121,0,0,0,121
2020-09,129,0,0,0,129
2020-11,112,0,0,0,112
2020-12,57,0,0,0,57
2021-01,82,0,0,0,82
2021-02,58,0,0,0,58
2021-03,89,0,0,0,89
2021-04,108,0,0,1,107
2021-05,54,0,0,0,54
2021-06,52,0,0,0,52
2021-07,122,0,0,0,122
2021-08,45,0,0,0,45
2021-09,66,0,0,0,66
2021-10,73,0,0,0,73
2021-11,60,0,0,0,60
2021-12,68,0,0,0,68
2022-01,102,0,0,0,102
2022-02,52,0,0,0,52
2022-03,71,0,0,0,71
2022-04,129,0,0,0,129
2022-05,78,0,0,0,78
2022-06,55,0,0,0,55
2022-07,82,0,0,1,81
2022-08,123,0,0,0,123
2022-09,66,0,0,0,66
2022-10,85,0,0,0,85
2022-11,62,0,0,0,62
2022-12,51,0,0,0,51
2023-01,102,0,0,0,102
2023-02,78,0,0,0,78
2023-03,77,0,0,0,77
2023-04,101,0,0,0,101
2023-05,40,0,0,0,40
2023-06,78,0,0,0,78
2023-07,136,0,0,0,136
2023-08,78,0,0,1,77
2023-09,62,0,0,0,62
2023-10,105,0,0,0,105
2023-11,66,0,0,0,66
2023-12,38,0,0,0,38
2024-01,57,0,0,0,57
2024-02,77,0,0,0,77
2024-03,66,0,0,0,66
2024-04,152,0,0,0,152
2024-05,62,0,0,0,62
2024-06,55,0,0,0,55
2024-07,144,0,0,0,144
2024-08,96,0,0,0,96
2024-09,86,0,0,0,86
2024-10,130,0,0,2,128
2024-11,96,0,0,0,96
2024-12,74,0,0,0,74
2025-01,165,0,0,0,165
2025-02,66,0,0,0,66
2025-03,65,0,0,0,65
2025-04,132,0,0,0,132
2025-05,80,0,0,0,80
2025-06,72,0,0,0,72
2025-07,137,0,0,0,137
2025-08,116,1,0,0,115
2025-09,94,2,0,0,92
2025-10,180,12,0,0,168
2025-11,71,2,0,0,69
2025-12,65,0,0,0,65
2026-01,124,2,0,0,122
2026-02,61,0,0,0,61
2026-03,97,1,3,0,93
2026-04,181,3,0,0,178
2026-05,162,5,0,0,157
2026-06,220,2,0,0,218
2026-07,662,6,0,0,656
2026-08,420,2,2,0,416
