year,finder,category,cves
2016,James Forshaw of Google Project Zero,other,21
2016,Mateusz Jurczyk of Google Project Zero,other,16
2016,"Peter Hlavaty ( @zer0mem ), KeenLab, Tencent",other,12
2016,Steven Seeley of Source Incite,other,10
2016,Natalie Silvanovich of Google Project Zero,other,10
2016,Anonymous working with Trend Micro's Zero Day Initiative,other,9
2016,Microsoft ChakraCore Team,other,6
2016,Masato Kinugawa of Cure53,other,6
2016,Liu Long of Qihoo 360,other,5
2016,Steven Vittitoe of Google Project Zero,other,5
2016,JChen of Palo Alto Networks,other,5
2016,Jaanus Kääp of Clarified Security,other,5
2016,zhong_sf and pgboy of Qihoo 360 Vulcan Team,other,5
2016,Zheng Huang of the Baidu Security Lab,other,4
2016,@j00sean,other,4
2016,"Rocco Calvi and Steven Seeley of Source Incite , working with VeriSign iDefense Labs",other,4
2016,Kostya Kortchinsky of the Google Security Team,other,3
2016,Lucas Leong of Trend Micro,other,3
2016,"Steven Seeley of Source Incite , working with VeriSign iDefense Labs",other,3
2016,"Nils Sommer of bytegeist, working with Google Project Zero",other,3
2016,Yorick Koster of Securify B.V.,other,3
2016,"Dhanesh Kizhakkinan of FireEye, Inc.",other,3
2016,"bee13oy of CloverSec Labs, working with Trend Micro’s Zero Day Initiative (ZDI)",other,3
2016,"pgboy , zhong_sf of Qihoo 360 Vulcan Team ​",other,3
2016,Haifei Li of Intel Security,other,3
2016,Scott Bell of Security-Assessment.com,other,3
2016,62600BCA031B9EB5CB4A74ADDDD6771E working with Trend Micro’s Zero Day Initiative (ZDI),other,3
2016,Henry Li (zenhumany) of Trend Micro,other,3
2016,Tao Yan (@Ga1ois) of Palo Alto Networks,other,3
2016,Ke Liu of Tencent's Xuanwu LAB,other,3
2016,"Daniel King , KeenLab, Tencent",other,3
2016,Thomas Garnier,other,2
2016,Sébastien Morin of COSIG,other,2
2016,Shi Ji (@Puzzor) of VARAS@IIE,other,2
2016,Anton Ivanov of Kaspersky Lab,other,2
2016,Dhanesh Kizhakkinan of FireEye Inc,other,2
2016,"Zheng Huang of the Baidu Security Lab , working with Trend Micro’s Zero Day Initiative (ZDI)",other,2
2016,"Hossein Lotfi, Secunia Research at Flexera Software",other,2
2016,"Shanti Lindström , Individual",other,2
2016,Kai Song ( exp-sky ) of Tencent’s Xuanwu LAB,other,2
2016,Jordan Rabet of Microsoft Offensive Security Research Team,other,2
2016,"Jordan Rabet, Microsoft Offensive Security Research Team",other,2
2016,Wenxiang Qian of Tencent QQBrowser,other,2
2016,Yu Yang (@tombkeeper) of Tencent's Xuanwu Lab,other,2
2016,"Qihoo 360 Vulcan Team , working with Trend Micro’s Zero Day Initiative (ZDI)",other,2
2016,"Liang Yin of Tencent PC Manager, working with Trend Micro's Zero Day Initiative (ZDI)",other,2
2016,SandboxEscaper working with Trend Micro’s Zero Day Initiative (ZDI),other,2
2016,Kai Song of Tencent’s Xuanwu LAB,other,2
