month,cves
2016-01,19
2016-04,28
2016-05,33
2016-06,36
2016-07,40
2016-08,27
2016-09,48
2016-10,33
2016-11,67
2016-12,40
2017-01,3
2017-03,134
2017-04,44
2017-05,65
2017-06,99
2017-07,57
2017-08,51
2017-09,82
2017-11,53
2017-12,34
2018-01,60
2018-02,51
2018-03,75
2018-04,68
2018-05,69
2018-06,50
2018-07,53
2018-08,60
2018-10,51
2018-11,62
2018-12,40
2019-01,52
2019-02,76
2019-03,65
2019-04,74
2019-05,79
2019-06,89
2019-07,78
2019-08,95
2019-09,81
2019-10,61
2019-11,76
2019-12,37
2020-01,49
2020-02,101
2020-06,132
2020-07,124
2020-08,121
2020-09,129
2020-11,112
2020-12,57
2021-01,82
2021-02,58
2021-03,89
2021-04,108
2021-05,54
2021-06,52
2021-07,122
2021-08,45
2021-09,66
2021-10,73
2021-11,60
2021-12,68
2022-01,102
2022-02,52
2022-03,71
2022-04,129
2022-05,78
2022-06,55
2022-07,82
2022-08,123
2022-09,66
2022-10,85
2022-11,62
2022-12,51
2023-01,102
2023-02,78
2023-03,77
2023-04,101
2023-05,40
2023-06,78
2023-07,136
2023-08,78
2023-09,62
2023-10,105
2023-11,66
2023-12,38
2024-01,57
2024-02,77
2024-03,66
2024-04,152
2024-05,62
2024-06,55
2024-07,144
2024-08,96
2024-09,86
2024-10,130
2024-11,96
2024-12,74
2025-01,165
2025-02,66
2025-03,65
2025-04,132
2025-05,80
2025-06,72
2025-07,137
2025-08,116
2025-09,94
2025-10,180
2025-11,71
2025-12,65
2026-01,124
2026-02,61
2026-03,97
2026-04,181
2026-05,162
2026-06,220
2026-07,662
