quarter,nvd_published,partial_quarter,data_through
2016-Q1,1397,no,
2016-Q2,1791,no,
2016-Q3,1725,no,
2016-Q4,1604,no,
2017-Q1,3587,no,
2017-Q2,6790,no,
2017-Q3,4108,no,
2017-Q4,3628,no,
2018-Q1,5359,no,
2018-Q2,4678,no,
2018-Q3,4452,no,
2018-Q4,3665,no,
2019-Q1,4156,no,
2019-Q2,4163,no,
2019-Q3,5237,no,
2019-Q4,5382,no,
2020-Q1,5140,no,
2020-Q2,5123,no,
2020-Q3,4329,no,
2020-Q4,4630,no,
2021-Q1,5030,no,
2021-Q2,5375,no,
2021-Q3,5779,no,
2021-Q4,5766,no,
2022-Q1,6316,no,
2022-Q2,6429,no,
2022-Q3,6888,no,
2022-Q4,6798,no,
2023-Q1,7822,no,
2023-Q2,7502,no,
2023-Q3,7709,no,
2023-Q4,7916,no,
2024-Q1,8905,no,
2024-Q2,12011,no,
2024-Q3,8659,no,
2024-Q4,11129,no,
2025-Q1,12412,no,
2025-Q2,12205,no,
2025-Q3,12207,no,
2025-Q4,13148,no,
2026-Q1,16255,no,
2026-Q2,20871,no,
2026-Q3,12712,yes,2026-08-10
