year,total,corroborated_ai,ai_affiliated_unverified,conventional_or_fuzz,unknown,fuzz,comparable_through_aug_05,partial_year,data_through
2002,5,0,0,3,2,0,4,no,
2003,7,0,0,4,3,0,3,no,
2004,4,0,0,3,1,0,3,no,
2005,1,0,0,1,0,0,0,no,
2006,5,0,0,5,0,0,0,no,
2007,3,0,0,3,0,0,0,no,
2008,2,0,0,2,0,0,2,no,
2009,10,0,0,8,2,0,9,no,
2010,9,0,0,9,0,0,6,no,
2011,3,0,0,3,0,0,1,no,
2012,11,0,0,11,0,0,11,no,
2013,5,0,0,5,0,0,3,no,
2014,22,0,0,19,3,0,9,no,
2015,32,0,0,32,0,1,27,no,
2016,35,0,0,35,0,0,19,no,
2017,8,0,0,8,0,4,4,no,
2018,7,0,0,7,0,1,4,no,
2019,7,0,0,7,0,1,3,no,
2020,3,0,0,3,0,0,1,no,
2021,8,0,0,8,0,0,5,no,
2022,13,0,0,13,0,0,9,no,
2023,19,0,0,19,0,3,16,no,
2024,9,0,0,9,0,3,7,no,
2025,6,3,0,3,0,0,3,no,
2026,39,18,9,12,0,0,39,yes,2026-08-05
