cve,published,severity,reporter,explicit_ai,ai_affiliated,ai_evidence_url,fuzz,affected_versions,source_discovery,source_url,source_sha256,metadata_commit
CVE-2002-0655,2002-07-30,Unknown,OpenSSL Group (A.L. Digital),no,no,,no,0.9.6 to <0.9.6e,,https://raw.githubusercontent.com/openssl/release-metadata/597a9a75044fb94b2823d111fd96ad9607a38189/secjson/CVE-2002-0655.json,bc89d5f53806ffcb4d14f6cf067830812df28b732a0fe647b70d3c5e62e1aa1b,597a9a75044fb94b2823d111fd96ad9607a38189
CVE-2002-0656,2002-07-30,Unknown,OpenSSL Group (A.L. Digital),no,no,,no,0.9.6 to <0.9.6e,,https://raw.githubusercontent.com/openssl/release-metadata/597a9a75044fb94b2823d111fd96ad9607a38189/secjson/CVE-2002-0656.json,1f878cf94f3d2c7c7f6c46d61ed5331d96d8e49818d3de74df1f22c248db9ba6,597a9a75044fb94b2823d111fd96ad9607a38189
CVE-2002-0657,2002-07-30,Unknown,OpenSSL Group (A.L. Digital),no,no,,no,0.9.7-beta3 to <0.9.7,,https://raw.githubusercontent.com/openssl/release-metadata/597a9a75044fb94b2823d111fd96ad9607a38189/secjson/CVE-2002-0657.json,4f8e551790bea58e34290a7c379a653f99eea7973c7a454ace3bd50ec58c1f48,597a9a75044fb94b2823d111fd96ad9607a38189
CVE-2002-0659,2002-07-30,Unknown,,no,no,,no,0.9.6a to <0.9.6e,,https://raw.githubusercontent.com/openssl/release-metadata/597a9a75044fb94b2823d111fd96ad9607a38189/secjson/CVE-2002-0659.json,67e897e3d28f342c97c2b42d1362e7332c34f1fc505fd4697a59ed722ef21c66,597a9a75044fb94b2823d111fd96ad9607a38189
CVE-2002-1568,2002-08-08,Unknown,,no,no,,no,0.9.6e to <0.9.6f,,https://raw.githubusercontent.com/openssl/release-metadata/597a9a75044fb94b2823d111fd96ad9607a38189/secjson/CVE-2002-1568.json,5e9da08894b1ba31f23b97bc805696045114ad3e7cf1739d30e101bdb0fe8bf1,597a9a75044fb94b2823d111fd96ad9607a38189
CVE-2003-0078,2003-02-19,Unknown,,no,no,,no,0.9.7 to <0.9.7a; 0.9.6 to <0.9.6i,,https://raw.githubusercontent.com/openssl/release-metadata/597a9a75044fb94b2823d111fd96ad9607a38189/secjson/CVE-2003-0078.json,efc0ea404d37b4e22616d9cf1b02a645154effa0ad974a34d857e0c064f6e1ca,597a9a75044fb94b2823d111fd96ad9607a38189
CVE-2003-0147,2003-03-14,Unknown,,no,no,,no,0.9.7 to <0.9.7b; 0.9.6 to <0.9.6j,,https://raw.githubusercontent.com/openssl/release-metadata/597a9a75044fb94b2823d111fd96ad9607a38189/secjson/CVE-2003-0147.json,12208ea54f1b2d4c80414129e1d4e7d18398b42409a26e89c2ee8b353699cb6f,597a9a75044fb94b2823d111fd96ad9607a38189
CVE-2003-0131,2003-03-19,Unknown,,no,no,,no,0.9.6 to <0.9.6j; 0.9.7 to <0.9.7b,,https://raw.githubusercontent.com/openssl/release-metadata/597a9a75044fb94b2823d111fd96ad9607a38189/secjson/CVE-2003-0131.json,a0348684ab1934c24a287e61d83b7e59341e594b5f53dd72051b23056a1bf4fe,597a9a75044fb94b2823d111fd96ad9607a38189
CVE-2003-0543,2003-09-30,Unknown,NISCC,no,no,,no,0.9.7 to <0.9.7c; 0.9.6 to <0.9.6k,,https://raw.githubusercontent.com/openssl/release-metadata/597a9a75044fb94b2823d111fd96ad9607a38189/secjson/CVE-2003-0543.json,4e0c91654ed68524c57e51a6b6dfe4680c18d45a134df7e431f70e523c23b978,597a9a75044fb94b2823d111fd96ad9607a38189
CVE-2003-0544,2003-09-30,Unknown,NISCC,no,no,,no,0.9.6 to <0.9.6k; 0.9.7 to <0.9.7c,,https://raw.githubusercontent.com/openssl/release-metadata/597a9a75044fb94b2823d111fd96ad9607a38189/secjson/CVE-2003-0544.json,d30521f275aef9cdd3c499a2ca6e7258fa746a6f2f7adf4305cdf2cfb41b139b,597a9a75044fb94b2823d111fd96ad9607a38189
CVE-2003-0545,2003-09-30,Unknown,NISCC,no,no,,no,0.9.7 to <0.9.7c,,https://raw.githubusercontent.com/openssl/release-metadata/597a9a75044fb94b2823d111fd96ad9607a38189/secjson/CVE-2003-0545.json,e294da2b79f49d2775d65e079358b0abac5b60c140367024e53bb6624851372a,597a9a75044fb94b2823d111fd96ad9607a38189
CVE-2003-0851,2003-11-04,Unknown,Novell,no,no,,no,0.9.6k to <0.9.6l,,https://raw.githubusercontent.com/openssl/release-metadata/597a9a75044fb94b2823d111fd96ad9607a38189/secjson/CVE-2003-0851.json,646b9c9131e4d42f65c92503c36153141317fc554392d7eb998316e740c6a965,597a9a75044fb94b2823d111fd96ad9607a38189
CVE-2004-0079,2004-03-17,Unknown,OpenSSL group,no,no,,no,0.9.7 to <0.9.7d; 0.9.6c to <0.9.6m,,https://raw.githubusercontent.com/openssl/release-metadata/597a9a75044fb94b2823d111fd96ad9607a38189/secjson/CVE-2004-0079.json,da3312528d55ffed84a37e54711b77e4a0c11eaa7f6f9939b6185431edf45d0e,597a9a75044fb94b2823d111fd96ad9607a38189
CVE-2004-0081,2004-03-17,Unknown,OpenSSL group,no,no,,no,0.9.6 to <0.9.6d,,https://raw.githubusercontent.com/openssl/release-metadata/597a9a75044fb94b2823d111fd96ad9607a38189/secjson/CVE-2004-0081.json,cb966a5bd122207775488cdd1f5c13a9db69dfb3d0cf7e32ba05301cd0ecb8d9,597a9a75044fb94b2823d111fd96ad9607a38189
CVE-2004-0112,2004-03-17,Unknown,OpenSSL group (Stephen Henson),no,no,,no,0.9.7a to <0.9.7d,,https://raw.githubusercontent.com/openssl/release-metadata/597a9a75044fb94b2823d111fd96ad9607a38189/secjson/CVE-2004-0112.json,ecd3d4c81f9042a43e70447cf50419b7a9be6c04547afbd36f8e18cda1397aef,597a9a75044fb94b2823d111fd96ad9607a38189
CVE-2004-0975,2004-09-30,Unknown,,no,no,,no,0.9.7 to <0.9.7f; 0.9.6 to <0.9.6-cvs,,https://raw.githubusercontent.com/openssl/release-metadata/597a9a75044fb94b2823d111fd96ad9607a38189/secjson/CVE-2004-0975.json,79dc80b1ed75d19e8076a6338ed89a4e2dc378fc1e59b8284a10f3420c675575,597a9a75044fb94b2823d111fd96ad9607a38189
CVE-2005-2969,2005-10-11,Unknown,researcher,no,no,,no,0.9.7 to <0.9.7h; 0.9.8 to <0.9.8a,,https://raw.githubusercontent.com/openssl/release-metadata/597a9a75044fb94b2823d111fd96ad9607a38189/secjson/CVE-2005-2969.json,af3bd728565c7b6adc106cfa35452d4a241f5ece7cbfd52cac59ee8ffa72b293,597a9a75044fb94b2823d111fd96ad9607a38189
CVE-2006-4339,2006-09-05,Unknown,openssl,no,no,,no,0.9.7 to <0.9.7k; 0.9.8 to <0.9.8c,,https://raw.githubusercontent.com/openssl/release-metadata/597a9a75044fb94b2823d111fd96ad9607a38189/secjson/CVE-2006-4339.json,b3b13d1eb5198b69ebeabd16705211fb913b86af9511bd7fc29a593ac235a113,597a9a75044fb94b2823d111fd96ad9607a38189
CVE-2006-2937,2006-09-28,Unknown,openssl,no,no,,no,0.9.7 to <0.9.7l; 0.9.8 to <0.9.8d,,https://raw.githubusercontent.com/openssl/release-metadata/597a9a75044fb94b2823d111fd96ad9607a38189/secjson/CVE-2006-2937.json,9f6a5718642093402f2d2c62f69e46af4324d0db7bca5ad45c744a89f08ba8e2,597a9a75044fb94b2823d111fd96ad9607a38189
CVE-2006-2940,2006-09-28,Unknown,openssl,no,no,,no,0.9.7 to <0.9.7l; 0.9.8 to <0.9.8d,,https://raw.githubusercontent.com/openssl/release-metadata/597a9a75044fb94b2823d111fd96ad9607a38189/secjson/CVE-2006-2940.json,e8756e4df9c64bf9f5a4f2cd13c28406e7a5b1a612e18825ac2c589009eacb93,597a9a75044fb94b2823d111fd96ad9607a38189
CVE-2006-3738,2006-09-28,Unknown,openssl,no,no,,no,0.9.7 to <0.9.7l; 0.9.8 to <0.9.8d,,https://raw.githubusercontent.com/openssl/release-metadata/597a9a75044fb94b2823d111fd96ad9607a38189/secjson/CVE-2006-3738.json,cd731abf8fa770b4e9ea5bb6607aad8c826615d78cc5cc778e4469b23599a7e1,597a9a75044fb94b2823d111fd96ad9607a38189
CVE-2006-4343,2006-09-28,Unknown,openssl,no,no,,no,0.9.7 to <0.9.7l; 0.9.8 to <0.9.8d,,https://raw.githubusercontent.com/openssl/release-metadata/597a9a75044fb94b2823d111fd96ad9607a38189/secjson/CVE-2006-4343.json,801c221167d655c3088850f0e0f5c4bf96daccf799bdd64881be3b1490f9c6d8,597a9a75044fb94b2823d111fd96ad9607a38189
CVE-2007-4995,2007-10-12,Unknown,Andy Polyakov,no,no,,no,0.9.8 to <0.9.8f,,https://raw.githubusercontent.com/openssl/release-metadata/597a9a75044fb94b2823d111fd96ad9607a38189/secjson/CVE-2007-4995.json,25e5304549d8cf062febcd27b834bbe67d691c1ecbf654e9381d3442558c45cb,597a9a75044fb94b2823d111fd96ad9607a38189
CVE-2007-5135,2007-10-12,Unknown,Moritz Jodeit,no,no,,no,0.9.8 to <0.9.8f,,https://raw.githubusercontent.com/openssl/release-metadata/597a9a75044fb94b2823d111fd96ad9607a38189/secjson/CVE-2007-5135.json,9daad524ae3511066330def8d3ebbd280e05f02bd86e30e71b557f7fe9bafbee,597a9a75044fb94b2823d111fd96ad9607a38189
CVE-2007-5502,2007-11-29,Unknown,Geoff Lowe,no,no,,no,fips-1.1.1 to <fips-1.1.2,,https://raw.githubusercontent.com/openssl/release-metadata/597a9a75044fb94b2823d111fd96ad9607a38189/secjson/CVE-2007-5502.json,d09604395a5293636f2ad347d2c2910424a1303c97cc36c9a6232709ed90f257,597a9a75044fb94b2823d111fd96ad9607a38189
