year,total,ai_attributed,fuzz_attributed,other_attributed,partial_year,data_through
2002,5,0,0,5,no,
2003,7,0,0,7,no,
2004,4,0,0,4,no,
2005,1,0,0,1,no,
2006,5,0,0,5,no,
2007,3,0,0,3,no,
2008,2,0,0,2,no,
2009,10,0,0,10,no,
2010,9,0,0,9,no,
2011,3,0,0,3,no,
2012,11,0,0,11,no,
2013,5,0,0,5,no,
2014,22,0,0,22,no,
2015,32,0,1,31,no,
2016,35,0,0,35,no,
2017,8,0,4,4,no,
2018,7,0,1,6,no,
2019,7,0,1,6,no,
2020,3,0,0,3,no,
2021,8,0,0,8,no,
2022,13,0,0,13,no,
2023,19,0,3,16,no,
2024,9,0,3,6,no,
2025,6,3,0,3,no,
2026,39,27,0,12,yes,2026-08-05
