quarter,distinct_cves,partial_quarter,data_through
2016-Q1,204,no,
2016-Q2,449,no,
2016-Q3,347,no,
2016-Q4,472,no,
2017-Q1,1205,no,
2017-Q2,1061,no,
2017-Q3,1203,no,
2017-Q4,1119,no,
2018-Q1,1066,no,
2018-Q2,1374,no,
2018-Q3,1315,no,
2018-Q4,1122,no,
2019-Q1,1142,no,
2019-Q2,1093,no,
2019-Q3,1492,no,
2019-Q4,1434,no,
2020-Q1,1223,no,
2020-Q2,1360,no,
2020-Q3,1362,no,
2020-Q4,1372,no,
2021-Q1,1532,no,
2021-Q2,1953,no,
2021-Q3,1825,no,
2021-Q4,1601,no,
2022-Q1,2418,no,
2022-Q2,3721,no,
2022-Q3,2381,no,
2022-Q4,2301,no,
2023-Q1,2260,no,
2023-Q2,2334,no,
2023-Q3,2110,no,
2023-Q4,2108,no,
2024-Q1,2751,no,
2024-Q2,3756,no,
2024-Q3,2855,no,
2024-Q4,2907,no,
2025-Q1,3595,no,
2025-Q2,3314,no,
2025-Q3,3798,no,
2025-Q4,4439,no,
2026-Q1,6240,no,
2026-Q2,10193,no,
2026-Q3,4888,yes,2026-08-10
