year,rank,discoverer,credit,credit_evidence,source_url,note
1938,3,Billing,human,published,https://web.math.pmf.unizg.hr/~duje/tors/rk3.html,
1945,4,Wiman,human,published,https://web.math.pmf.unizg.hr/~duje/tors/rk4.html,
1974,6,Penney–Pomerance,human,published,https://web.math.pmf.unizg.hr/~duje/tors/rk6.html,
1975,7,Penney–Pomerance,human,published,https://web.math.pmf.unizg.hr/~duje/tors/rk7.html,
1977,8,Grunewald–Zimmert,human,published,https://web.math.pmf.unizg.hr/~duje/tors/rk8.html,
1977,9,Brumer–Kramer,human,published,https://web.math.pmf.unizg.hr/~duje/tors/rk9.html,
1982,12,Mestre,human,published,https://web.math.pmf.unizg.hr/~duje/tors/rk12.html,
1986,14,Mestre,human,published,https://web.math.pmf.unizg.hr/~duje/tors/rk14.html,
1992,15,Mestre,human,published,https://web.math.pmf.unizg.hr/~duje/tors/rk15.html,
1992,17,Nagao,human,published,https://web.math.pmf.unizg.hr/~duje/tors/rk17.html,
1992,19,Fermigier,human,published,https://web.math.pmf.unizg.hr/~duje/tors/rk19.html,
1993,20,Nagao,human,published,https://web.math.pmf.unizg.hr/~duje/tors/rk20.html,
1994,21,Nagao–Kouya,human,published,https://web.math.pmf.unizg.hr/~duje/tors/rk21.html,
1997,22,Fermigier,human,published,https://web.math.pmf.unizg.hr/~duje/tors/rk22.html,
1998,23,Martin–McMillen,human,published,https://web.math.pmf.unizg.hr/~duje/tors/rk23.html,
2000,24,Martin–McMillen,human,published,https://web.math.pmf.unizg.hr/~duje/tors/rk24.html,
2006,28,Elkies,human,published,https://web.math.pmf.unizg.hr/~duje/tors/rk28.html,
2024,29,Elkies–Klagsbrun,human,published,https://web.math.pmf.unizg.hr/~duje/tors/rk29.html,
2026,30,ranksunbounded,ai,self-reported,https://web.math.pmf.unizg.hr/~duje/tors/rk30.html,"Credited to Claude with Levent Alpoge and Ava Howell in the leaderboard commentary, edited by the submitting account; no paper or named-author statement as of 2026-08-20"
