curve_id,rank,naive_height,faltings_height,log_conductor,log_discriminant,points,submitter,date
1,12,79.3287,4.4677,67.7667,67.7667,12,David Renshaw,2026-05-27
2,2,14.1555,-0.7956,5.9636,5.9636,2,David Renshaw,2026-05-27
3,14,96.9858,5.9864,86.4842,86.4842,14,David Renshaw,2026-05-27
4,15,214.1616,15.8718,129.4395,205.9746,15,David Renshaw,2026-05-27
5,17,206.8727,14.8061,136.2101,186.2006,17,David Renshaw,2026-05-27
6,19,200.2966,14.6599,149.9856,191.0809,19,David Renshaw,2026-05-27
7,20,237.8517,17.8502,170.0877,229.8057,20,David Renshaw,2026-05-27
8,22,239.3849,17.8713,182.7249,229.2590,22,David Renshaw,2026-05-27
9,23,269.1762,20.2687,205.0608,257.1513,23,David Renshaw,2026-05-27
10,24,274.6563,20.7141,219.9266,262.3546,24,David Renshaw,2026-05-27
11,28,393.6297,30.6235,325.9045,381.2024,28,David Renshaw,2026-05-27
12,29,436.0125,34.2354,343.7201,425.4423,29,David Renshaw,2026-05-27
13,3,24.8338,0.1377,12.9723,17.3790,3,David Renshaw,2026-05-27
14,4,41.9511,1.4676,16.3970,32.7940,4,David Renshaw,2026-05-27
15,4,73.3203,4.1783,23.3415,65.8656,4,David Renshaw,2026-05-27
16,6,62.5066,3.0487,29.6758,50.5411,6,David Renshaw,2026-05-27
17,6,73.2328,3.9492,41.5089,61.4251,6,David Renshaw,2026-05-27
18,6,75.9650,4.1063,37.6030,62.3634,6,David Renshaw,2026-05-27
19,6,77.3400,4.1886,42.9122,62.8285,6,David Renshaw,2026-05-27
20,6,67.4963,3.6798,37.8271,59.8228,6,David Renshaw,2026-05-27
21,6,73.3036,3.9568,36.1742,61.5372,6,David Renshaw,2026-05-27
22,6,75.3122,4.0697,40.1904,62.1860,6,David Renshaw,2026-05-27
23,6,75.8337,4.1000,40.3607,62.3564,6,David Renshaw,2026-05-27
24,6,76.3960,4.1330,40.5450,62.5407,6,David Renshaw,2026-05-27
25,6,77.0814,4.1738,40.7703,62.7660,6,David Renshaw,2026-05-27
26,7,95.6930,5.9185,55.5406,86.0026,7,David Renshaw,2026-05-27
27,7,98.0201,6.0366,56.2572,86.7192,7,David Renshaw,2026-05-27
28,7,98.0791,6.0398,56.2759,86.7378,7,David Renshaw,2026-05-27
29,8,100.1196,6.1584,59.5446,87.5459,8,David Renshaw,2026-05-27
30,9,75.2668,4.1847,50.6174,64.9390,9,David Renshaw,2026-05-27
31,10,138.1225,9.4779,74.5614,128.8913,10,David Renshaw,2026-05-27
32,10,139.6377,9.6778,82.8195,131.7326,10,David Renshaw,2026-05-27
33,11,136.0524,9.0964,82.2689,121.9738,11,David Renshaw,2026-05-27
34,11,150.1960,10.5532,94.8705,142.2146,11,David Renshaw,2026-05-27
35,14,220.4245,16.2313,133.0583,208.9932,14,David Renshaw,2026-05-27
36,15,278.3344,21.2524,147.2324,270.8802,15,David Renshaw,2026-05-27
37,17,301.6077,23.0393,161.5687,291.1209,17,David Renshaw,2026-05-27
38,18,352.9804,27.2769,189.7569,341.5324,18,David Renshaw,2026-05-27
39,19,342.7010,26.6161,192.8469,335.2463,19,David Renshaw,2026-05-27
40,20,401.1305,31.4627,216.7897,393.1190,20,David Renshaw,2026-05-27
41,5,25.1942,0.1081,16.7625,16.7625,5,David Renshaw,2026-05-28
42,1,11.6136,-0.9965,3.6109,3.6109,1,David Renshaw,2026-05-28
43,6,35.1832,0.8126,22.3695,24.1613,6,David Renshaw,2026-05-28
44,7,39.2482,1.2447,26.6703,30.1361,7,David Renshaw,2026-05-28
45,13,279.3530,21.2021,127.9714,269.2396,13,David Renshaw,2026-05-28
46,16,150.2494,10.5784,136.2030,142.7947,16,David Renshaw,2026-05-28
47,8,46.3380,1.7639,33.1511,35.7901,8,David Renshaw,2026-05-28
48,9,50.3060,2.2491,38.0079,42.8119,9,David Renshaw,2026-05-28
49,10,61.4836,3.0269,43.7679,50.9616,10,David Renshaw,2026-05-28
50,11,61.5069,3.0412,51.2464,51.2464,11,David Renshaw,2026-05-28
51,13,190.9121,13.9776,122.9981,183.4574,13,David Renshaw,2026-05-28
52,13,201.2412,14.8383,127.6869,193.7865,13,David Renshaw,2026-05-28
53,3,17.4513,-0.5614,8.5325,8.5325,3,David Renshaw,2026-05-28
54,4,24.7291,-0.0870,12.3650,13.0581,4,David Renshaw,2026-05-28
55,5,24.3180,0.0837,16.8303,16.8303,5,David Renshaw,2026-05-29
56,6,30.3760,0.5828,22.7576,22.7576,6,David Renshaw,2026-05-29
57,7,35.7790,1.0365,28.2351,28.2351,7,David Renshaw,2026-05-29
58,8,41.8264,1.5245,33.9620,33.9620,8,David Renshaw,2026-05-29
59,9,47.9739,1.9827,39.0956,39.0956,9,David Renshaw,2026-05-29
60,10,54.3490,2.5105,44.6829,45.3760,10,David Renshaw,2026-05-29
61,13,95.8477,6.0450,87.2943,88.3929,13,David Renshaw,2026-05-29
62,17,165.3025,11.8329,155.3629,157.8478,17,David Renshaw,2026-05-29
