month,date,total_problems,total_solved,lean_formalized,catalogue_count_unchanged
2025-08,2025-08-31,992,355,148,no
2025-09,2025-09-30,1062,379,178,no
2025-10,2025-10-31,1105,407,199,no
2025-11,2025-11-29,1108,410,241,no
2025-12,2025-12-31,1128,439,283,no
2026-01,2026-01-31,1179,476,352,no
2026-02,2026-02-28,1179,483,374,no
2026-03,2026-03-31,1183,492,386,no
2026-04,2026-04-30,1217,525,407,yes
2026-05,2026-05-31,1217,544,430,yes
2026-06,2026-06-30,1217,547,473,yes
2026-07,2026-07-27,1217,559,509,yes
2026-08,2026-08-08,1217,565,605,yes
