list_id,list_name,list_year,problem_id,short_name,status,resolved_year,resolver,notes,source
topp,The Open Problems Project,2001,1,Minimum Weight Triangulation,resolved,2006,,"Just solved by  Wolfgang Mulzer and G\""unter Rote, January 2006! \url{http://arxiv.org/abs/cs.CG/0601002}. Entry to be updated later...  This problem is one of the few from Garey a",TOPP GitHub Problems/ (edemaine/topp)
topp,The Open Problems Project,2001,2,Voronoi Diagram of Moving Points,resolved,2015,,"Long conjectured to be nearly quadratic. Solved now: \cite{r-okdt-15}. Natan Rubin proved an upper bound of $O(n^{2+\epsilon})$, and a quadratic lower bound is known.",TOPP GitHub Problems/ (edemaine/topp)
topp,The Open Problems Project,2001,3,Voronoi Diagram of Lines in 3D,open,,,Open. Conjectured to be nearly quadratic.,TOPP GitHub Problems/ (edemaine/topp)
topp,The Open Problems Project,2001,4,Union of Fat Objects in 3D,open,,,Open.  Conjectured to be nearly quadratic.,TOPP GitHub Problems/ (edemaine/topp)
topp,The Open Problems Project,2001,5,Euclidean Minimum Spanning Tree,open,,,Open.,TOPP GitHub Problems/ (edemaine/topp)
topp,The Open Problems Project,2001,6,Minimum Euclidean Matching in 2D,open,,,Open.,TOPP GitHub Problems/ (edemaine/topp)
topp,The Open Problems Project,2001,7,$k$-sets,open,,,Open.,TOPP GitHub Problems/ (edemaine/topp)
topp,The Open Problems Project,2001,8,Linear Programming: Strongly Polynomial?,open,,,Open.,TOPP GitHub Problems/ (edemaine/topp)
topp,The Open Problems Project,2001,9,Edge-Unfolding Convex Polyhedra,open,,,Open. It seems to be a widespread hunch that the answer is {\sc yes}.,TOPP GitHub Problems/ (edemaine/topp)
topp,The Open Problems Project,2001,10,Simple Linear-Time Polygon Triangulation,open,,,Open.,TOPP GitHub Problems/ (edemaine/topp)
topp,The Open Problems Project,2001,11,3SUM Hard Problems,open,,,"Open. Subquadratic time algorithms have been found (see~\cite{gp-tdlt-14, gs-ib3kl-17, c-mlfs3-18}),  but it is conjectured that 3SUM is unsolvable in $O(n^{2-\epsilon})$ time,  ev",TOPP GitHub Problems/ (edemaine/topp)
