year,omega,discoverer,credit,source,source_url,note
1969,2.8074,Strassen,human,Published record chronology,https://en.wikipedia.org/wiki/Matrix_multiplication_algorithm#Sub-cubic_algorithms,Value reproduces the existing source-log transcription
1978,2.796,Pan,human,Published record chronology,https://en.wikipedia.org/wiki/Matrix_multiplication_algorithm#Sub-cubic_algorithms,Value reproduces the existing source-log transcription
1979,2.780,Bini et al.,human,Published record chronology,https://en.wikipedia.org/wiki/Matrix_multiplication_algorithm#Sub-cubic_algorithms,Value reproduces the existing source-log transcription
1981,2.522,Schönhage,human,Published record chronology,https://en.wikipedia.org/wiki/Matrix_multiplication_algorithm#Sub-cubic_algorithms,Value reproduces the existing source-log transcription
1981,2.517,Romani,human,Published record chronology,https://en.wikipedia.org/wiki/Matrix_multiplication_algorithm#Sub-cubic_algorithms,Value reproduces the existing source-log transcription
1981,2.496,Coppersmith–Winograd,human,Published record chronology,https://en.wikipedia.org/wiki/Matrix_multiplication_algorithm#Sub-cubic_algorithms,Value reproduces the existing source-log transcription
1986,2.479,Strassen,human,Published record chronology,https://en.wikipedia.org/wiki/Matrix_multiplication_algorithm#Sub-cubic_algorithms,Value reproduces the existing source-log transcription
1990,2.3755,Coppersmith–Winograd,human,Published record chronology,https://en.wikipedia.org/wiki/Matrix_multiplication_algorithm#Sub-cubic_algorithms,Value reproduces the existing source-log transcription
2010,2.3737,Stothers,human,Published record chronology,https://en.wikipedia.org/wiki/Matrix_multiplication_algorithm#Sub-cubic_algorithms,Value reproduces the existing source-log transcription
2012,2.3729,Williams,human,Published record chronology,https://en.wikipedia.org/wiki/Matrix_multiplication_algorithm#Sub-cubic_algorithms,Value reproduces the existing source-log transcription
2014,2.3728639,Le Gall,human,Published record chronology,https://en.wikipedia.org/wiki/Matrix_multiplication_algorithm#Sub-cubic_algorithms,Value reproduces the existing source-log transcription
2020,2.3728596,Alman–Williams,human,Published record chronology,https://en.wikipedia.org/wiki/Matrix_multiplication_algorithm#Sub-cubic_algorithms,Value reproduces the existing source-log transcription
2022,2.371866,Duan–Wu–Zhou,human,Published record chronology,https://en.wikipedia.org/wiki/Matrix_multiplication_algorithm#Sub-cubic_algorithms,Value reproduces the existing source-log transcription
2024,2.371552,Williams et al.,human,Published record chronology,https://en.wikipedia.org/wiki/Matrix_multiplication_algorithm#Sub-cubic_algorithms,Value reproduces the existing source-log transcription
2024,2.371339,Alman–Duan–Williams–Xu–Xu–Zhou,human,More Asymmetry Yields Faster Matrix Multiplication,https://arxiv.org/abs/2404.16349,First posted April 2024; subsequently published at SODA 2025
2026,2.371177,Dupont et al.,ai,Improving the matrix multiplication exponent with modern optimization and AlphaEvolve,https://arxiv.org/abs/2608.16884,First posted August 2026; ten authors; the optimization algorithm behind the bound was refined with AlphaEvolve
