month,category,submissions
1986-04,physics.pop-ph,1
1988-11,hep-th,1
1989-04,math.LO,1
1989-10,math.MG,3
1989-11,math.FA,2
1990-01,cs.CC,1
1990-01,math.CO,1
1990-01,math.DS,1
1990-01,math.LO,3
1990-02,math.FA,1
1990-02,math.PR,1
1990-03,math.FA,2
1990-04,cs.GR,1
1990-04,math.DS,1
1990-05,math.DS,1
1990-05,math.QA,1
1990-06,math.FA,2
1990-07,math.FA,2
1990-08,math.DS,1
1990-09,math.DS,1
1990-09,math.FA,1
1990-09,math.MG,2
1990-11,math.FA,1
1990-12,math.DS,1
1990-12,math.FA,1
1991-01,math.DS,2
1991-01,math.FA,1
1991-01,math.GR,1
1991-01,math.LO,6
1991-02,math.DS,1
1991-02,math.FA,2
1991-03,math.DS,2
1991-03,math.FA,1
1991-04,math.DS,2
1991-04,math.FA,2
1991-05,math.DS,2
1991-05,math.OA,1
1991-06,math.CO,1
1991-06,math.DS,3
1991-06,math.FA,2
1991-07,math.DS,2
1991-07,math.FA,2
1991-08,cs.CC,1
1991-08,hep-th,27
1991-08,math.DS,2
1991-09,hep-th,59
1991-09,math.DS,1
1991-09,math.FA,1
1991-10,hep-th,76
1991-10,math.DS,3
1991-10,math.FA,2
1991-10,math.QA,1
1991-11,cs.GL,1
1991-11,hep-th,64
1991-11,math.DS,2
1991-12,cs.DS,1
1991-12,hep-th,76
1991-12,math.DG,1
1991-12,math.FA,2
1992-01,hep-th,81
1992-01,math.AP,3
1992-01,math.CV,2
1992-01,math.DG,4
1992-01,math.DS,1
1992-01,math.FA,3
1992-01,math.GR,2
1992-01,math.GT,1
1992-01,math.HO,1
1992-01,math.LO,6
1992-01,math.NA,2
1992-01,math.QA,1
1992-01,math.RT,1
1992-02,alg-geom,28
1992-02,hep-ph,1
1992-02,hep-th,92
1992-02,math.CV,1
1992-02,math.DG,3
1992-02,math.DS,2
1992-02,math.FA,3
1992-02,math.LO,1
1992-03,alg-geom,5
1992-03,cond-mat,1
1992-03,hep-ph,25
1992-03,hep-th,85
1992-03,math.CV,1
1992-03,math.DG,1
1992-03,math.DS,1
1992-04,alg-geom,1
1992-04,astro-ph,6
1992-04,cond-mat,18
1992-04,hep-lat,34
1992-04,hep-ph,39
1992-04,hep-th,102
1992-04,math.AG,2
1992-04,math.AP,1
1992-04,math.AT,1
1992-04,math.CA,1
1992-04,math.CV,5
1992-04,math.DG,3
1992-04,math.DS,2
1992-04,math.FA,6
1992-04,math.GR,1
1992-04,math.LO,11
1992-04,math.MG,1
1992-04,math.NT,2
1992-04,math.OA,1
1992-04,math.RT,3
1992-04,math.SP,1
1992-05,alg-geom,7
1992-05,astro-ph,6
1992-05,cond-mat,16
1992-05,funct-an,3
1992-05,hep-lat,28
1992-05,hep-ph,47
1992-05,hep-th,117
1992-05,math.DS,2
1992-05,math.FA,5
1992-05,math.HO,1
1992-05,math.LO,3
1992-06,alg-geom,9
1992-06,astro-ph,5
1992-06,cond-mat,11
1992-06,hep-lat,29
1992-06,hep-ph,66
1992-06,hep-th,112
1992-06,math.CO,1
1992-06,math.DS,1
1992-06,math.FA,3
1992-07,alg-geom,1
1992-07,astro-ph,2
1992-07,cond-mat,28
1992-07,cs.DS,1
1992-07,gr-qc,11
1992-07,hep-lat,35
1992-07,hep-ph,79
1992-07,hep-th,119
1992-07,math.AP,1
1992-07,math.AT,1
1992-07,math.CA,2
1992-07,math.CO,1
1992-07,math.CV,4
1992-07,math.DG,3
1992-07,math.DS,2
1992-07,math.FA,3
1992-07,math.LO,3
1992-07,math.NT,1
1992-07,math.QA,1
1992-08,alg-geom,4
1992-08,astro-ph,7
1992-08,cond-mat,28
1992-08,funct-an,1
1992-08,gr-qc,11
1992-08,hep-lat,30
1992-08,hep-ph,62
1992-08,hep-th,81
1992-08,math.DS,1
1992-08,math.FA,2
1992-08,math.QA,1
1992-09,alg-geom,1
1992-09,astro-ph,6
1992-09,cond-mat,33
1992-09,funct-an,1
1992-09,gr-qc,15
1992-09,hep-lat,27
1992-09,hep-ph,99
1992-09,hep-th,134
1992-09,math.DG,1
1992-09,math.DS,2
1992-09,math.FA,7
1992-09,math.LO,11
1992-10,alg-geom,9
1992-10,astro-ph,7
1992-10,cond-mat,28
1992-10,gr-qc,20
1992-10,hep-lat,42
1992-10,hep-ph,81
1992-10,hep-th,164
1992-10,math.AP,2
1992-10,math.CV,1
1992-10,math.DG,3
1992-10,math.DS,3
1992-10,math.FA,8
1992-10,math.GR,2
1992-10,math.GT,1
1992-10,math.LO,3
1992-10,math.MG,3
1992-10,math.NT,1
1992-10,math.OA,1
1992-10,nucl-th,20
1992-11,alg-geom,1
1992-11,astro-ph,14
1992-11,cond-mat,21
1992-11,funct-an,15
1992-11,gr-qc,28
1992-11,hep-lat,66
1992-11,hep-ph,135
1992-11,hep-th,140
1992-11,math.CV,1
1992-11,math.DS,1
1992-11,math.FA,6
1992-11,math.LO,8
1992-11,math.MG,1
1992-11,nucl-th,13
1992-12,alg-geom,4
1992-12,astro-ph,6
1992-12,cond-mat,36
1992-12,funct-an,5
1992-12,gr-qc,16
1992-12,hep-lat,35
1992-12,hep-ph,121
1992-12,hep-th,158
1992-12,math.DS,1
1992-12,math.FA,6
1992-12,math.LO,2
1992-12,math.QA,1
1992-12,nucl-th,16
1993-01,alg-geom,7
1993-01,astro-ph,12
1993-01,chao-dyn,5
1993-01,cond-mat,38
1993-01,cond-mat.stat-mech,1
1993-01,funct-an,5
1993-01,gr-qc,24
1993-01,hep-lat,21
1993-01,hep-ph,93
1993-01,hep-th,131
1993-01,math.AP,2
1993-01,math.CA,2
1993-01,math.CO,2
1993-01,math.DS,1
1993-01,math.FA,1
1993-01,math.GT,1
1993-01,math.KT,1
1993-01,math.LO,8
1993-01,math.OA,1
1993-01,math.RT,1
1993-01,nucl-th,20
1993-02,alg-geom,6
1993-02,astro-ph,18
1993-02,chao-dyn,6
1993-02,comp-gas,3
1993-02,cond-mat,40
1993-02,funct-an,8
1993-02,gr-qc,38
1993-02,hep-lat,13
1993-02,hep-ph,124
1993-02,hep-th,145
1993-02,math.FA,12
1993-02,math.LO,3
1993-02,math.MG,1
1993-02,nucl-th,18
1993-02,patt-sol,2
1993-03,adap-org,3
1993-03,alg-geom,7
1993-03,astro-ph,20
1993-03,chao-dyn,20
1993-03,comp-gas,3
1993-03,cond-mat,51
1993-03,funct-an,4
1993-03,gr-qc,38
1993-03,hep-lat,16
1993-03,hep-ph,123
1993-03,hep-th,179
1993-03,math.DS,1
1993-03,math.FA,6
1993-03,math.LO,2
1993-03,nucl-th,26
1993-03,patt-sol,6
1993-04,adap-org,1
1993-04,alg-geom,7
1993-04,astro-ph,29
1993-04,chao-dyn,12
1993-04,comp-gas,7
1993-04,cond-mat,50
1993-04,gr-qc,45
1993-04,hep-lat,16
1993-04,hep-ph,124
1993-04,hep-th,161
1993-04,math.AG,1
1993-04,math.DS,1
1993-04,math.FA,2
1993-04,math.GT,2
1993-04,math.LO,7
1993-04,math.NA,2
1993-04,math.NT,1
1993-04,math.RT,1
1993-04,nucl-th,25
1993-04,patt-sol,5
1993-04,solv-int,5
1993-05,adap-org,1
1993-05,alg-geom,12
1993-05,astro-ph,39
1993-05,chao-dyn,11
1993-05,comp-gas,5
1993-05,cond-mat,42
1993-05,funct-an,4
1993-05,gr-qc,27
1993-05,hep-lat,26
1993-05,hep-ph,148
1993-05,hep-th,190
1993-05,math.DS,1
1993-05,math.FA,1
1993-05,math.GR,1
1993-05,math.LO,4
1993-05,nucl-th,17
1993-05,patt-sol,9
1993-05,solv-int,4
1993-06,adap-org,6
1993-06,alg-geom,11
1993-06,astro-ph,30
1993-06,chao-dyn,12
1993-06,comp-gas,3
1993-06,cond-mat,61
1993-06,cond-mat.stat-mech,1
1993-06,funct-an,3
1993-06,gr-qc,35
1993-06,hep-lat,24
1993-06,hep-ph,138
1993-06,hep-th,167
1993-06,math.CO,1
1993-06,math.DG,1
1993-06,math.FA,7
1993-06,math.GR,5
1993-06,math.LO,2
1993-06,nucl-th,26
1993-06,patt-sol,2
1993-06,solv-int,4
1993-07,alg-geom,10
1993-07,astro-ph,40
1993-07,chao-dyn,18
1993-07,comp-gas,5
1993-07,cond-mat,66
1993-07,cond-mat.supr-con,1
1993-07,funct-an,1
1993-07,gr-qc,38
1993-07,hep-lat,22
1993-07,hep-ph,177
1993-07,hep-th,194
1993-07,math.AC,1
1993-07,math.CA,22
1993-07,math.CO,1
1993-07,math.DG,1
1993-07,math.DS,1
1993-07,math.FA,1
1993-07,math.GT,3
1993-07,math.HO,1
1993-07,math.MG,1
1993-07,math.NA,1
1993-07,math.NT,1
1993-07,math.SP,1
1993-07,nucl-th,29
1993-07,patt-sol,3
1993-07,solv-int,1
1993-08,adap-org,1
1993-08,alg-geom,6
1993-08,astro-ph,49
1993-08,chao-dyn,8
1993-08,comp-gas,2
1993-08,cond-mat,38
1993-08,cond-mat.dis-nn,1
1993-08,cs.AI,2
1993-08,funct-an,2
1993-08,gr-qc,32
1993-08,hep-lat,23
1993-08,hep-ph,178
1993-08,hep-th,156
1993-08,math.CA,1
