Entity,Year,Technology cost
Acrylic fiber,1960,132.98671
Acrylic fiber,1961,120.445915
Acrylic fiber,1962,107.475945
Acrylic fiber,1963,107.475945
Acrylic fiber,1964,100.619095
Acrylic fiber,1965,91.295135
Acrylic fiber,1966,79.3631
Acrylic fiber,1967,72.85034
Acrylic fiber,1968,57.672115
Acrylic fiber,1969,51.820923
Acrylic fiber,1970,49.71248
Acrylic fiber,1971,45.5589
Acrylic fiber,1972,40.19263
Acrylonitrile,1959,26.82869
Acrylonitrile,1960,22.925358
Acrylonitrile,1961,17.92551
Acrylonitrile,1962,15.199591
Acrylonitrile,1963,14.200614
Acrylonitrile,1964,16.10883
Acrylonitrile,1965,16.16937
Acrylonitrile,1966,12.553572
Acrylonitrile,1967,11.45481
Acrylonitrile,1968,11.539423
Acrylonitrile,1969,11.065033
Acrylonitrile,1970,9.88698
Acrylonitrile,1971,8.8907995
Acrylonitrile,1972,8.968174
Aluminum,1956,28.13528
Aluminum,1957,28.551401
Aluminum,1958,28.046925
Aluminum,1959,27.757483
Aluminum,1960,26.5818
Aluminum,1961,26.028572
Aluminum,1962,24.465712
Aluminum,1963,23.13306
Aluminum,1964,24.321356
Aluminum,1965,24.855984
Aluminum,1966,24.313492
Aluminum,1967,24.298347
Aluminum,1968,24.625
Aluminum,1969,25.630537
Aluminum,1970,25.95208
Aluminum,1971,24.927773
Aluminum,1972,22.036013
Ammonia,1960,3.5265849
Ammonia,1961,3.644898
Ammonia,1962,3.5506654
Ammonia,1963,3.4912999
Ammonia,1964,3.459959
Ammonia,1965,3.387424
Ammonia,1966,3.0962303
Ammonia,1967,2.7006803
Ammonia,1968,2.0480769
Ammonia,1969,1.6032045
Ammonia,1970,1.545208
Ammonia,1971,1.5124677
Ammonia,1972,1.5150753
Aniline,1961,16.106123
Aniline,1962,13.58956
Aniline,1963,14.186284
Aniline,1964,14.13039
Aniline,1965,13.251521
Aniline,1966,11.427579
Aniline,1967,10.574344
Aniline,1968,10.368269
Aniline,1969,9.942507
Aniline,1970,10.384268
Aniline,1971,9.621668
Aniline,1972,7.3207707
Automotive (US),1985,4.055818
Automotive (US),1986,3.2602558
Automotive (US),1987,2.7831435
Automotive (US),1988,2.4694808
Automotive (US),1989,2.2014985
Automotive (US),1990,1.9798375
Automotive (US),1991,1.7925642
Automotive (US),1992,1.6712413
Automotive (US),1993,1.5496174
Automotive (US),1994,1.4528798
Automotive (US),1995,1.3714668
Automotive (US),1996,1.298839
Automotive (US),1997,1.240951
Automotive (US),1998,1.1855304
Automotive (US),1999,1.1302906
Automotive (US),2000,1.0800047
Automotive (US),2001,1.033315
Automotive (US),2002,0.9929439
Automotive (US),2003,0.94899535
Automotive (US),2004,0.9210077
Automotive (US),2005,0.88077253
Beer (Japan),1951,72.34
Beer (Japan),1952,76.44
Beer (Japan),1953,65.6
Beer (Japan),1954,67.53
Beer (Japan),1955,66.42
Beer (Japan),1956,63
Beer (Japan),1957,60.33
Beer (Japan),1958,60.83
Beer (Japan),1959,58.96
Beer (Japan),1960,55.73
Beer (Japan),1961,51.97
Beer (Japan),1962,50.41
Beer (Japan),1963,48.14
Beer (Japan),1964,45.97
Beer (Japan),1965,46.86
Beer (Japan),1966,44.76
Beer (Japan),1967,43.03
Beer (Japan),1968,43.17
Benzene,1952,0.434
Benzene,1953,0.464
Benzene,1954,0.458
Benzene,1955,0.407
Benzene,1956,0.383
Benzene,1957,0.359
Benzene,1958,0.33
Benzene,1959,0.286
Benzene,1960,0.3
Benzene,1961,0.306
Benzene,1962,0.232
Benzene,1963,0.215
Benzene,1964,0.202
Benzene,1965,0.216
Benzene,1966,0.211
Benzene,1967,0.205
Benzene,1968,0.199
Bisphenol A,1959,28.008255
Bisphenol A,1960,27.722904
Bisphenol A,1961,27.666327
Bisphenol A,1962,26.082907
Bisphenol A,1963,25.286592
Bisphenol A,1964,22.20534
Bisphenol A,1965,21.09635
Bisphenol A,1966,20.125992
Bisphenol A,1967,20.013605
Bisphenol A,1968,18.188461
Bisphenol A,1969,17.633366
Bisphenol A,1970,15.12387
Bisphenol A,1971,13.694755
Bisphenol A,1972,12.970687
CCGT power,1987,599.3
CCGT power,1988,514.3
CCGT power,1989,631.8
CCGT power,1990,521.6
CCGT power,1991,641.6
CCGT power,1992,607.3
CCGT power,1993,533.4
CCGT power,1994,450.4
CCGT power,1995,467.4
CCGT power,1996,432.6
Caprolactam,1962,41.648926
Caprolactam,1963,38.21699
Caprolactam,1964,34.617043
Caprolactam,1965,31.820486
Caprolactam,1966,24.484127
Caprolactam,1967,19.873663
Caprolactam,1968,18.261538
Caprolactam,1969,16.756834
Caprolactam,1970,16.268536
Caprolactam,1971,15.104901
Caprolactam,1972,14.80067
Carbon black,1964,7.1950717
Carbon black,1965,7.157201
Carbon black,1966,7.114087
Carbon black,1967,6.9689016
Carbon black,1968,7.041346
Carbon black,1969,6.8397737
Carbon black,1970,6.857143
Carbon black,1971,6.6130695
Carbon black,1972,6.4991627
Carbon disulfide,1963,4.176049
Carbon disulfide,1964,4.126283
Carbon disulfide,1965,4.055781
Carbon disulfide,1966,4.0674605
Carbon disulfide,1967,3.8202138
Carbon disulfide,1968,4.2413464
Carbon disulfide,1969,4.128181
Carbon disulfide,1970,3.7703435
Carbon disulfide,1971,3.4316423
Carbon disulfide,1972,3.332496
Concentrating solar,1980,76.06515
Concentrating solar,1981,64.39695
Concentrating solar,1982,54.73171
Concentrating solar,1983,45.453583
Concentrating solar,1984,34.62963
Concentrating solar,1985,28.8
Concentrating solar,1986,24.963593
Concentrating solar,1987,22.304348
Concentrating solar,1988,20.238094
Concentrating solar,1989,19.037975
Concentrating solar,1990,17.837837
Concentrating solar,1991,16.957747
Concentrating solar,1992,16.879433
Concentrating solar,1993,16.618706
Concentrating solar,1994,16.357664
Concentrating solar,1995,15.93985
Concentrating solar,1996,15.51938
Concentrating solar,1997,15.200637
Concentrating solar,1998,14.961039
Concentrating solar,1999,14.785479
Concentrating solar,2000,14.688915
Concentrating solar,2001,14.60804
Concentrating solar,2002,14.53872
Concentrating solar,2003,14.395571
Concentrating solar,2004,13.714286
Concentrating solar,2005,12.692307
Corn (US),1975,11.67
Corn (US),1976,11.48
Corn (US),1977,11.26
Corn (US),1978,9.95
Corn (US),1979,9.12
Corn (US),1980,11.09
Corn (US),1981,9.15
Corn (US),1982,8.79
Corn (US),1983,12.7
Corn (US),1984,9.45
Corn (US),1985,8.53
Corn (US),1986,8.44
Corn (US),1987,8.42
Corn (US),1988,12.02
Corn (US),1989,8.693384
Corn (US),1990,8.51
Corn (US),1991,9.06
Corn (US),1992,7.47
Corn (US),1993,10.09
Corn (US),1994,6.985679
Corn (US),1995,8.634088
Corn (US),1996,7.695267
Corn (US),1997,7.6923075
Corn (US),1998,7.352941
Corn (US),1999,7.4074073
Corn (US),2000,7.246377
Corn (US),2001,6.9444447
Corn (US),2002,7.4626865
Corn (US),2003,6.7114096
Corn (US),2004,5.9171596
Corn (US),2005,6.7114096
Corn (US),2006,7.246377
Corn (US),2007,6.993007
Corn (US),2008,6.9444447
Crude oil,1946,2.14
Crude oil,1947,2.64
Crude oil,1948,3.32
Crude oil,1949,3.3
Crude oil,1950,3.23
Crude oil,1951,3.01
Crude oil,1952,2.95
Crude oil,1953,3.08
Crude oil,1954,3.15
Crude oil,1955,3.09
Crude oil,1956,2.99
Crude oil,1957,3.17
Crude oil,1958,3.03
Crude oil,1959,2.9
Crude oil,1960,2.85
Crude oil,1961,2.82
Crude oil,1962,2.79
Crude oil,1963,2.74
Crude oil,1964,2.69
Crude oil,1965,2.63
Crude oil,1966,2.59
Crude oil,1967,2.54
Crude oil,1968,2.47
Cyclohexane,1956,5.995671
Cyclohexane,1957,5.5991693
Cyclohexane,1958,5.6225233
Cyclohexane,1959,5.3952527
Cyclohexane,1960,5.3456035
Cyclohexane,1961,5.140816
Cyclohexane,1962,4.6059365
Cyclohexane,1963,4.154555
Cyclohexane,1964,3.9404519
Cyclohexane,1965,4.137931
Cyclohexane,1966,4.026786
Cyclohexane,1967,3.723032
Cyclohexane,1968,3.2211537
Cyclohexane,1969,3.1479735
Cyclohexane,1970,3.103074
Cyclohexane,1971,2.8125536
Cyclohexane,1972,2.4958124
DNA sequencing,2001,121225.51
DNA sequencing,2002,76886.375
DNA sequencing,2003,49266.055
DNA sequencing,2004,22038.84
DNA sequencing,2005,15887.277
DNA sequencing,2006,11747.288
DNA sequencing,2007,7821.6216
DNA sequencing,2008,367.85822
DNA sequencing,2009,75.271774
DNA sequencing,2010,30.593178
DNA sequencing,2011,7.998165
DNA sequencing,2012,6.71418
DNA sequencing,2013,5.0960803
DRAM,1971,49.61795
DRAM,1972,32.92767
DRAM,1973,25.125942
